case_id,Resource,role,Activity,FixedCost,ResourceCost,__start_time,end_time,__AssignedTime
3,DIO,DIO,A,0.0,0.0,2012-03-21T06:45:00.000,2012-03-21 06:50:00+00:00,2012-03-21T06:45:00.000
3,DIO,DIO,B,0.0,0.0,2012-03-21T06:50:00.000,2012-03-21 06:55:00+00:00,2012-03-21T06:50:00.000
3,DIO,DIO,E,0.0,0.0,2012-03-21T06:55:00.000,2012-03-21 07:00:00+00:00,2012-03-21T06:55:00.000
3,Giorno,Giorno,I,0.0,0.0,2012-03-21T07:00:00.000,2012-03-21 07:05:00+00:00,2012-03-21T07:00:00.000
3,Jolyne,Jolyne,J,0.0,0.0,2012-03-21T07:05:00.000,2012-03-21 07:10:00+00:00,2012-03-21T07:05:00.000
3,Giorno,Giorno,K,0.0,0.0,2012-03-21T07:10:00.000,2012-03-21 07:15:00+00:00,2012-03-21T07:10:00.000
3,Giorno,Giorno,N,0.0,0.0,2012-03-21T07:15:00.000,2012-03-21 07:20:00+00:00,2012-03-21T07:15:00.000
3,Jolyne,Jolyne,P,0.0,0.0,2012-03-21T07:20:00.000,2012-03-21 07:25:00+00:00,2012-03-21T07:20:00.000
4,DIO,DIO,A,0.0,0.0,2012-03-21T07:00:00.000,2012-03-21 07:05:00+00:00,2012-03-21T07:00:00.000
4,DIO,DIO,B,0.0,0.0,2012-03-21T07:05:00.000,2012-03-21 07:10:00+00:00,2012-03-21T07:05:00.000
4,DIO,DIO,F,0.0,0.0,2012-03-21T07:10:00.000,2012-03-21 07:15:00+00:00,2012-03-21T07:10:00.000
4,Pucci,Pucci,G,0.0,0.0,2012-03-21T07:15:00.000,2012-03-21 07:20:00+00:00,2012-03-21T07:15:00.000
4,Pucci,Pucci,H,0.0,0.0,2012-03-21T07:20:00.000,2012-03-21 07:25:00+00:00,2012-03-21T07:20:00.000
5,DIO,DIO,A,0.0,0.0,2012-03-21T07:15:00.000,2012-03-21 07:20:00+00:00,2012-03-21T07:15:00.000
5,DIO,DIO,B,0.0,0.0,2012-03-21T07:20:00.000,2012-03-21 07:25:00+00:00,2012-03-21T07:20:00.000
5,DIO,DIO,F,0.0,0.0,2012-03-21T07:25:00.000,2012-03-21 07:30:00+00:00,2012-03-21T07:25:00.000
5,Pucci,Pucci,G,0.0,0.0,2012-03-21T07:30:00.000,2012-03-21 07:35:00+00:00,2012-03-21T07:30:00.000
5,Pucci,Pucci,H,0.0,0.0,2012-03-21T07:35:00.000,2012-03-21 07:40:00+00:00,2012-03-21T07:35:00.000
5,Jolyne,Jolyne,I,0.0,0.0,2012-03-21T07:40:00.000,2012-03-21 07:45:00+00:00,2012-03-21T07:40:00.000
5,Giorno,Giorno,L,0.0,0.0,2012-03-21T07:45:00.000,2012-03-21 07:50:00+00:00,2012-03-21T07:45:00.000
6,DIO,DIO,A,0.0,0.0,2012-03-21T07:30:00.000,2012-03-21 07:35:00+00:00,2012-03-21T07:30:00.000
6,DIO,DIO,B,0.0,0.0,2012-03-21T07:35:00.000,2012-03-21 07:40:00+00:00,2012-03-21T07:35:00.000
6,DIO,DIO,F,0.0,0.0,2012-03-21T07:40:00.000,2012-03-21 07:45:00+00:00,2012-03-21T07:40:00.000
6,Pucci,Pucci,G,0.0,0.0,2012-03-21T07:45:00.000,2012-03-21 07:50:00+00:00,2012-03-21T07:45:00.000
6,Pucci,Pucci,H,0.0,0.0,2012-03-21T07:50:00.000,2012-03-21 07:55:00+00:00,2012-03-21T07:50:00.000
7,DIO,DIO,A,0.0,0.0,2012-03-21T07:45:00.000,2012-03-21 07:50:00+00:00,2012-03-21T07:45:00.000
7,DIO,DIO,B,0.0,0.0,2012-03-21T07:50:00.000,2012-03-21 07:55:00+00:00,2012-03-21T07:50:00.000
7,DIO,DIO,C,0.0,0.0,2012-03-21T07:55:00.000,2012-03-21 08:00:00+00:00,2012-03-21T07:55:00.000
7,Pucci,Pucci,D,0.0,0.0,2012-03-21T08:00:00.000,2012-03-21 08:05:00+00:00,2012-03-21T08:00:00.000
7,Jonathan,Jonathan,I,0.0,0.0,2012-03-21T08:05:00.000,2012-03-21 08:10:00+00:00,2012-03-21T08:05:00.000
7,Jonathan,Jonathan,J,0.0,0.0,2012-03-21T08:10:00.000,2012-03-21 08:15:00+00:00,2012-03-21T08:10:00.000
7,Jolyne,Jolyne,K,0.0,0.0,2012-03-21T08:15:00.000,2012-03-21 08:20:00+00:00,2012-03-21T08:15:00.000
7,Giorno,Giorno,N,0.0,0.0,2012-03-21T08:20:00.000,2012-03-21 08:25:00+00:00,2012-03-21T08:20:00.000
8,DIO,DIO,A,0.0,0.0,2012-03-21T08:00:00.000,2012-03-21 08:05:00+00:00,2012-03-21T08:00:00.000
8,DIO,DIO,B,0.0,0.0,2012-03-21T08:05:00.000,2012-03-21 08:10:00+00:00,2012-03-21T08:05:00.000
8,DIO,DIO,C,0.0,0.0,2012-03-21T08:10:00.000,2012-03-21 08:15:00+00:00,2012-03-21T08:10:00.000
8,Pucci,Pucci,D,0.0,0.0,2012-03-21T08:15:00.000,2012-03-21 08:20:00+00:00,2012-03-21T08:15:00.000
9,DIO,DIO,A,0.0,0.0,2012-03-21T08:15:00.000,2012-03-21 08:20:00+00:00,2012-03-21T08:15:00.000
9,DIO,DIO,B,0.0,0.0,2012-03-21T08:20:00.000,2012-03-21 08:25:00+00:00,2012-03-21T08:20:00.000
9,DIO,DIO,C,0.0,0.0,2012-03-21T08:25:00.000,2012-03-21 08:30:00+00:00,2012-03-21T08:25:00.000
9,Pucci,Pucci,D,0.0,0.0,2012-03-21T08:30:00.000,2012-03-21 08:35:00+00:00,2012-03-21T08:30:00.000
9,Jonathan,Jonathan,I,0.0,0.0,2012-03-21T08:35:00.000,2012-03-21 08:40:00+00:00,2012-03-21T08:35:00.000
9,Jonathan,Jonathan,J,0.0,0.0,2012-03-21T08:40:00.000,2012-03-21 08:45:00+00:00,2012-03-21T08:40:00.000
9,Jolyne,Jolyne,K,0.0,0.0,2012-03-21T08:45:00.000,2012-03-21 08:50:00+00:00,2012-03-21T08:45:00.000
9,Jolyne,Jolyne,N,0.0,0.0,2012-03-21T08:50:00.000,2012-03-21 08:55:00+00:00,2012-03-21T08:50:00.000
10,DIO,DIO,A,0.0,0.0,2012-03-21T08:30:00.000,2012-03-21 08:35:00+00:00,2012-03-21T08:30:00.000
10,DIO,DIO,B,0.0,0.0,2012-03-21T08:35:00.000,2012-03-21 08:40:00+00:00,2012-03-21T08:35:00.000
10,DIO,DIO,F,0.0,0.0,2012-03-21T08:40:00.000,2012-03-21 08:45:00+00:00,2012-03-21T08:40:00.000
11,DIO,DIO,A,0.0,0.0,2012-03-21T08:45:00.000,2012-03-21 08:50:00+00:00,2012-03-21T08:45:00.000
11,DIO,DIO,B,0.0,0.0,2012-03-21T08:50:00.000,2012-03-21 08:55:00+00:00,2012-03-21T08:50:00.000
11,DIO,DIO,E,0.0,0.0,2012-03-21T08:55:00.000,2012-03-21 09:00:00+00:00,2012-03-21T08:55:00.000
11,Jolyne,Jolyne,I,0.0,0.0,2012-03-21T09:00:00.000,2012-03-21 09:05:00+00:00,2012-03-21T09:00:00.000
11,Giorno,Giorno,L,0.0,0.0,2012-03-21T09:05:00.000,2012-03-21 09:10:00+00:00,2012-03-21T09:05:00.000
12,DIO,DIO,A,0.0,0.0,2012-03-21T09:00:00.000,2012-03-21 09:05:00+00:00,2012-03-21T09:00:00.000
12,DIO,DIO,B,0.0,0.0,2012-03-21T09:05:00.000,2012-03-21 09:10:00+00:00,2012-03-21T09:05:00.000
12,DIO,DIO,E,0.0,0.0,2012-03-21T09:10:00.000,2012-03-21 09:15:00+00:00,2012-03-21T09:10:00.000
12,Jonathan,Jonathan,I,0.0,0.0,2012-03-21T09:15:00.000,2012-03-21 09:20:00+00:00,2012-03-21T09:15:00.000
12,Jolyne,Jolyne,J,0.0,0.0,2012-03-21T09:20:00.000,2012-03-21 09:25:00+00:00,2012-03-21T09:20:00.000
12,Giorno,Giorno,K,0.0,0.0,2012-03-21T09:25:00.000,2012-03-21 09:30:00+00:00,2012-03-21T09:25:00.000
12,Jolyne,Jolyne,N,0.0,0.0,2012-03-21T09:30:00.000,2012-03-21 09:35:00+00:00,2012-03-21T09:30:00.000
12,Giorno,Giorno,P,0.0,0.0,2012-03-21T09:35:00.000,2012-03-21 09:40:00+00:00,2012-03-21T09:35:00.000
13,DIO,DIO,A,0.0,0.0,2012-03-21T09:15:00.000,2012-03-21 09:20:00+00:00,2012-03-21T09:15:00.000
13,DIO,DIO,B,0.0,0.0,2012-03-21T09:20:00.000,2012-03-21 09:25:00+00:00,2012-03-21T09:20:00.000
13,DIO,DIO,F,0.0,0.0,2012-03-21T09:25:00.000,2012-03-21 09:30:00+00:00,2012-03-21T09:25:00.000
14,DIO,DIO,A,0.0,0.0,2012-03-21T09:30:00.000,2012-03-21 09:35:00+00:00,2012-03-21T09:30:00.000
14,DIO,DIO,B,0.0,0.0,2012-03-21T09:35:00.000,2012-03-21 09:40:00+00:00,2012-03-21T09:35:00.000
14,DIO,DIO,C,0.0,0.0,2012-03-21T09:40:00.000,2012-03-21 09:45:00+00:00,2012-03-21T09:40:00.000
14,Pucci,Pucci,D,0.0,0.0,2012-03-21T09:45:00.000,2012-03-21 09:50:00+00:00,2012-03-21T09:45:00.000
14,Jolyne,Jolyne,I,0.0,0.0,2012-03-21T09:50:00.000,2012-03-21 09:55:00+00:00,2012-03-21T09:50:00.000
14,Jolyne,Jolyne,L,0.0,0.0,2012-03-21T09:55:00.000,2012-03-21 10:00:00+00:00,2012-03-21T09:55:00.000
14,Giorno,Giorno,M,0.0,0.0,2012-03-21T10:00:00.000,2012-03-21 10:05:00+00:00,2012-03-21T10:00:00.000
14,Jolyne,Jolyne,N,0.0,0.0,2012-03-21T10:05:00.000,2012-03-21 10:10:00+00:00,2012-03-21T10:05:00.000
14,Jolyne,Jolyne,P,0.0,0.0,2012-03-21T10:10:00.000,2012-03-21 10:15:00+00:00,2012-03-21T10:10:00.000
15,DIO,DIO,A,0.0,0.0,2012-03-21T09:45:00.000,2012-03-21 09:50:00+00:00,2012-03-21T09:45:00.000
15,DIO,DIO,B,0.0,0.0,2012-03-21T09:50:00.000,2012-03-21 09:55:00+00:00,2012-03-21T09:50:00.000
15,DIO,DIO,C,0.0,0.0,2012-03-21T09:55:00.000,2012-03-21 10:00:00+00:00,2012-03-21T09:55:00.000
15,Pucci,Pucci,D,0.0,0.0,2012-03-21T10:00:00.000,2012-03-21 10:05:00+00:00,2012-03-21T10:00:00.000
15,Jonathan,Jonathan,I,0.0,0.0,2012-03-21T10:05:00.000,2012-03-21 10:10:00+00:00,2012-03-21T10:05:00.000
15,Jonathan,Jonathan,L,0.0,0.0,2012-03-21T10:10:00.000,2012-03-21 10:15:00+00:00,2012-03-21T10:10:00.000
15,Jolyne,Jolyne,M,0.0,0.0,2012-03-21T10:15:00.000,2012-03-21 10:20:00+00:00,2012-03-21T10:15:00.000
15,Giorno,Giorno,N,0.0,0.0,2012-03-21T10:20:00.000,2012-03-21 10:25:00+00:00,2012-03-21T10:20:00.000
15,Jolyne,Jolyne,O,0.0,0.0,2012-03-21T10:25:00.000,2012-03-21 10:30:00+00:00,2012-03-21T10:25:00.000
15,Jolyne,Jolyne,I,0.0,0.0,2012-03-21T10:30:00.000,2012-03-21 10:35:00+00:00,2012-03-21T10:30:00.000
15,Jolyne,Jolyne,L,0.0,0.0,2012-03-21T10:35:00.000,2012-03-21 10:40:00+00:00,2012-03-21T10:35:00.000
15,Jolyne,Jolyne,M,0.0,0.0,2012-03-21T10:40:00.000,2012-03-21 10:45:00+00:00,2012-03-21T10:40:00.000
15,Giorno,Giorno,N,0.0,0.0,2012-03-21T10:45:00.000,2012-03-21 10:50:00+00:00,2012-03-21T10:45:00.000
16,DIO,DIO,A,0.0,0.0,2012-03-21T10:00:00.000,2012-03-21 10:05:00+00:00,2012-03-21T10:00:00.000
16,DIO,DIO,B,0.0,0.0,2012-03-21T10:05:00.000,2012-03-21 10:10:00+00:00,2012-03-21T10:05:00.000
16,DIO,DIO,C,0.0,0.0,2012-03-21T10:10:00.000,2012-03-21 10:15:00+00:00,2012-03-21T10:10:00.000
16,Pucci,Pucci,D,0.0,0.0,2012-03-21T10:15:00.000,2012-03-21 10:20:00+00:00,2012-03-21T10:15:00.000
16,Jonathan,Jonathan,I,0.0,0.0,2012-03-21T10:20:00.000,2012-03-21 10:25:00+00:00,2012-03-21T10:20:00.000
16,Jonathan,Jonathan,J,0.0,0.0,2012-03-21T10:25:00.000,2012-03-21 10:30:00+00:00,2012-03-21T10:25:00.000
16,Giorno,Giorno,K,0.0,0.0,2012-03-21T10:30:00.000,2012-03-21 10:35:00+00:00,2012-03-21T10:30:00.000
16,Giorno,Giorno,N,0.0,0.0,2012-03-21T10:35:00.000,2012-03-21 10:40:00+00:00,2012-03-21T10:35:00.000
16,Giorno,Giorno,O,0.0,0.0,2012-03-21T10:40:00.000,2012-03-21 10:45:00+00:00,2012-03-21T10:40:00.000
17,DIO,DIO,A,0.0,0.0,2012-03-21T10:15:00.000,2012-03-21 10:20:00+00:00,2012-03-21T10:15:00.000
17,DIO,DIO,B,0.0,0.0,2012-03-21T10:20:00.000,2012-03-21 10:25:00+00:00,2012-03-21T10:20:00.000
17,DIO,DIO,C,0.0,0.0,2012-03-21T10:25:00.000,2012-03-21 10:30:00+00:00,2012-03-21T10:25:00.000
17,Pucci,Pucci,D,0.0,0.0,2012-03-21T10:30:00.000,2012-03-21 10:35:00+00:00,2012-03-21T10:30:00.000
17,Jonathan,Jonathan,I,0.0,0.0,2012-03-21T10:35:00.000,2012-03-21 10:40:00+00:00,2012-03-21T10:35:00.000
18,DIO,DIO,A,0.0,0.0,2012-03-21T10:30:00.000,2012-03-21 10:35:00+00:00,2012-03-21T10:30:00.000
18,DIO,DIO,B,0.0,0.0,2012-03-21T10:35:00.000,2012-03-21 10:40:00+00:00,2012-03-21T10:35:00.000
18,DIO,DIO,F,0.0,0.0,2012-03-21T10:40:00.000,2012-03-21 10:45:00+00:00,2012-03-21T10:40:00.000
18,Pucci,Pucci,G,0.0,0.0,2012-03-21T10:45:00.000,2012-03-21 10:50:00+00:00,2012-03-21T10:45:00.000
18,Pucci,Pucci,H,0.0,0.0,2012-03-21T10:50:00.000,2012-03-21 10:55:00+00:00,2012-03-21T10:50:00.000
18,Jonathan,Jonathan,I,0.0,0.0,2012-03-21T10:55:00.000,2012-03-21 11:00:00+00:00,2012-03-21T10:55:00.000
19,DIO,DIO,A,0.0,0.0,2012-03-21T10:45:00.000,2012-03-21 10:50:00+00:00,2012-03-21T10:45:00.000
19,DIO,DIO,B,0.0,0.0,2012-03-21T10:50:00.000,2012-03-21 10:55:00+00:00,2012-03-21T10:50:00.000
19,DIO,DIO,F,0.0,0.0,2012-03-21T10:55:00.000,2012-03-21 11:00:00+00:00,2012-03-21T10:55:00.000
19,Pucci,Pucci,G,0.0,0.0,2012-03-21T11:00:00.000,2012-03-21 11:05:00+00:00,2012-03-21T11:00:00.000
19,Pucci,Pucci,H,0.0,0.0,2012-03-21T11:05:00.000,2012-03-21 11:10:00+00:00,2012-03-21T11:05:00.000
19,Jonathan,Jonathan,I,0.0,0.0,2012-03-21T11:10:00.000,2012-03-21 11:15:00+00:00,2012-03-21T11:10:00.000
19,Jonathan,Jonathan,L,0.0,0.0,2012-03-21T11:15:00.000,2012-03-21 11:20:00+00:00,2012-03-21T11:15:00.000
19,Jonathan,Jonathan,M,0.0,0.0,2012-03-21T11:20:00.000,2012-03-21 11:25:00+00:00,2012-03-21T11:20:00.000
19,Giorno,Giorno,N,0.0,0.0,2012-03-21T11:30:00.000,2012-03-21 11:35:00+00:00,2012-03-21T11:25:00.000
20,DIO,DIO,A,0.0,0.0,2012-03-21T11:00:00.000,2012-03-21 11:05:00+00:00,2012-03-21T11:00:00.000
20,DIO,DIO,B,0.0,0.0,2012-03-21T11:05:00.000,2012-03-21 11:10:00+00:00,2012-03-21T11:05:00.000
20,DIO,DIO,E,0.0,0.0,2012-03-21T11:10:00.000,2012-03-21 11:15:00+00:00,2012-03-21T11:10:00.000
21,DIO,DIO,A,0.0,0.0,2012-03-21T11:15:00.000,2012-03-21 11:20:00+00:00,2012-03-21T11:15:00.000
21,DIO,DIO,B,0.0,0.0,2012-03-21T11:20:00.000,2012-03-21 11:25:00+00:00,2012-03-21T11:20:00.000
21,DIO,DIO,F,0.0,0.0,2012-03-21T11:25:00.000,2012-03-21 11:30:00+00:00,2012-03-21T11:25:00.000
21,Pucci,Pucci,G,0.0,0.0,2012-03-21T11:30:00.000,2012-03-21 11:35:00+00:00,2012-03-21T11:30:00.000
22,DIO,DIO,A,0.0,0.0,2012-03-21T11:30:00.000,2012-03-21 11:35:00+00:00,2012-03-21T11:30:00.000
22,DIO,DIO,B,0.0,0.0,2012-03-21T11:35:00.000,2012-03-21 11:40:00+00:00,2012-03-21T11:35:00.000
22,DIO,DIO,F,0.0,0.0,2012-03-21T11:40:00.000,2012-03-21 11:45:00+00:00,2012-03-21T11:40:00.000
22,Pucci,Pucci,G,0.0,0.0,2012-03-21T11:45:00.000,2012-03-21 11:50:00+00:00,2012-03-21T11:45:00.000
22,Pucci,Pucci,H,0.0,0.0,2012-03-21T11:50:00.000,2012-03-21 11:55:00+00:00,2012-03-21T11:50:00.000
22,Jonathan,Jonathan,I,0.0,0.0,2012-03-21T11:55:00.000,2012-03-21 12:00:00+00:00,2012-03-21T11:55:00.000
22,Jonathan,Jonathan,L,0.0,0.0,2012-03-21T12:00:00.000,2012-03-21 12:05:00+00:00,2012-03-21T12:00:00.000
22,Jolyne,Jolyne,M,0.0,0.0,2012-03-21T12:05:00.000,2012-03-21 12:10:00+00:00,2012-03-21T12:05:00.000
22,Giorno,Giorno,N,0.0,0.0,2012-03-21T12:10:00.000,2012-03-21 12:15:00+00:00,2012-03-21T12:10:00.000
22,Jonathan,Jonathan,P,0.0,0.0,2012-03-21T12:15:00.000,2012-03-21 12:20:00+00:00,2012-03-21T12:15:00.000
23,DIO,DIO,A,0.0,0.0,2012-03-21T11:45:00.000,2012-03-21 11:50:00+00:00,2012-03-21T11:45:00.000
23,DIO,DIO,B,0.0,0.0,2012-03-21T11:50:00.000,2012-03-21 11:55:00+00:00,2012-03-21T11:50:00.000
23,DIO,DIO,F,0.0,0.0,2012-03-21T11:55:00.000,2012-03-21 12:00:00+00:00,2012-03-21T11:55:00.000
24,DIO,DIO,A,0.0,0.0,2012-03-21T12:00:00.000,2012-03-21 12:05:00+00:00,2012-03-21T12:00:00.000
24,DIO,DIO,B,0.0,0.0,2012-03-21T12:05:00.000,2012-03-21 12:10:00+00:00,2012-03-21T12:05:00.000
24,DIO,DIO,E,0.0,0.0,2012-03-21T12:10:00.000,2012-03-21 12:15:00+00:00,2012-03-21T12:10:00.000
24,Jolyne,Jolyne,I,0.0,0.0,2012-03-21T12:20:00.000,2012-03-21 12:25:00+00:00,2012-03-21T12:15:00.000
24,Giorno,Giorno,L,0.0,0.0,2012-03-21T12:30:00.000,2012-03-21 12:35:00+00:00,2012-03-21T12:25:00.000
24,Jolyne,Jolyne,M,0.0,0.0,2012-03-21T12:35:00.000,2012-03-21 12:40:00+00:00,2012-03-21T12:35:00.000
25,DIO,DIO,A,0.0,0.0,2012-03-21T12:15:00.000,2012-03-21 12:20:00+00:00,2012-03-21T12:15:00.000
25,DIO,DIO,B,0.0,0.0,2012-03-21T12:20:00.000,2012-03-21 12:25:00+00:00,2012-03-21T12:20:00.000
25,DIO,DIO,F,0.0,0.0,2012-03-21T12:25:00.000,2012-03-21 12:30:00+00:00,2012-03-21T12:25:00.000
26,DIO,DIO,A,0.0,0.0,2012-03-21T12:30:00.000,2012-03-21 12:35:00+00:00,2012-03-21T12:30:00.000
26,DIO,DIO,B,0.0,0.0,2012-03-21T12:35:00.000,2012-03-21 12:40:00+00:00,2012-03-21T12:35:00.000
26,DIO,DIO,F,0.0,0.0,2012-03-21T12:40:00.000,2012-03-21 12:45:00+00:00,2012-03-21T12:40:00.000
26,Pucci,Pucci,G,0.0,0.0,2012-03-21T12:45:00.000,2012-03-21 12:50:00+00:00,2012-03-21T12:45:00.000
26,Pucci,Pucci,H,0.0,0.0,2012-03-21T12:50:00.000,2012-03-21 12:55:00+00:00,2012-03-21T12:50:00.000
26,Giorno,Giorno,I,0.0,0.0,2012-03-21T13:00:00.000,2012-03-21 13:05:00+00:00,2012-03-21T12:55:00.000
26,Jolyne,Jolyne,L,0.0,0.0,2012-03-21T13:10:00.000,2012-03-21 13:15:00+00:00,2012-03-21T13:05:00.000
26,Giorno,Giorno,M,0.0,0.0,2012-03-21T13:20:00.000,2012-03-21 13:25:00+00:00,2012-03-21T13:15:00.000
26,Jonathan,Jonathan,N,0.0,0.0,2012-03-21T13:25:00.000,2012-03-21 13:30:00+00:00,2012-03-21T13:25:00.000
26,Giorno,Giorno,P,0.0,0.0,2012-03-21T13:35:00.000,2012-03-21 13:40:00+00:00,2012-03-21T13:30:00.000
27,DIO,DIO,A,0.0,0.0,2012-03-21T12:45:00.000,2012-03-21 12:50:00+00:00,2012-03-21T12:45:00.000
27,DIO,DIO,B,0.0,0.0,2012-03-21T12:50:00.000,2012-03-21 12:55:00+00:00,2012-03-21T12:50:00.000
27,DIO,DIO,F,0.0,0.0,2012-03-21T12:55:00.000,2012-03-21 13:00:00+00:00,2012-03-21T12:55:00.000
27,Pucci,Pucci,G,0.0,0.0,2012-03-21T13:00:00.000,2012-03-21 13:05:00+00:00,2012-03-21T13:00:00.000
27,Pucci,Pucci,H,0.0,0.0,2012-03-21T13:05:00.000,2012-03-21 13:10:00+00:00,2012-03-21T13:05:00.000
27,Jonathan,Jonathan,I,0.0,0.0,2012-03-21T13:15:00.000,2012-03-21 13:20:00+00:00,2012-03-21T13:10:00.000
27,Jolyne,Jolyne,L,0.0,0.0,2012-03-21T13:25:00.000,2012-03-21 13:30:00+00:00,2012-03-21T13:20:00.000
27,Jonathan,Jonathan,M,0.0,0.0,2012-03-21T13:30:00.000,2012-03-21 13:35:00+00:00,2012-03-21T13:30:00.000
27,Jonathan,Jonathan,N,0.0,0.0,2012-03-21T13:35:00.000,2012-03-21 13:40:00+00:00,2012-03-21T13:35:00.000
28,DIO,DIO,A,0.0,0.0,2012-03-21T13:00:00.000,2012-03-21 13:05:00+00:00,2012-03-21T13:00:00.000
28,DIO,DIO,B,0.0,0.0,2012-03-21T13:05:00.000,2012-03-21 13:10:00+00:00,2012-03-21T13:05:00.000
28,DIO,DIO,E,0.0,0.0,2012-03-21T13:10:00.000,2012-03-21 13:15:00+00:00,2012-03-21T13:10:00.000
28,Jonathan,Jonathan,I,0.0,0.0,2012-03-21T13:20:00.000,2012-03-21 13:25:00+00:00,2012-03-21T13:15:00.000
29,DIO,DIO,A,0.0,0.0,2012-03-21T13:15:00.000,2012-03-21 13:20:00+00:00,2012-03-21T13:15:00.000
29,DIO,DIO,B,0.0,0.0,2012-03-21T13:20:00.000,2012-03-21 13:25:00+00:00,2012-03-21T13:20:00.000
29,DIO,DIO,C,0.0,0.0,2012-03-21T13:25:00.000,2012-03-21 13:30:00+00:00,2012-03-21T13:25:00.000
29,Pucci,Pucci,D,0.0,0.0,2012-03-21T13:30:00.000,2012-03-21 13:35:00+00:00,2012-03-21T13:30:00.000
29,Giorno,Giorno,I,0.0,0.0,2012-03-21T13:40:00.000,2012-03-21 13:45:00+00:00,2012-03-21T13:35:00.000
30,DIO,DIO,A,0.0,0.0,2012-03-21T13:30:00.000,2012-03-21 13:35:00+00:00,2012-03-21T13:30:00.000
30,DIO,DIO,B,0.0,0.0,2012-03-21T13:35:00.000,2012-03-21 13:40:00+00:00,2012-03-21T13:35:00.000
30,DIO,DIO,F,0.0,0.0,2012-03-21T13:40:00.000,2012-03-21 13:45:00+00:00,2012-03-21T13:40:00.000
30,Pucci,Pucci,G,0.0,0.0,2012-03-21T13:45:00.000,2012-03-21 13:50:00+00:00,2012-03-21T13:45:00.000
30,Pucci,Pucci,H,0.0,0.0,2012-03-21T13:50:00.000,2012-03-21 13:55:00+00:00,2012-03-21T13:50:00.000
31,DIO,DIO,A,0.0,0.0,2012-03-21T13:45:00.000,2012-03-21 13:50:00+00:00,2012-03-21T13:45:00.000
31,DIO,DIO,B,0.0,0.0,2012-03-21T13:50:00.000,2012-03-21 13:55:00+00:00,2012-03-21T13:50:00.000
31,DIO,DIO,E,0.0,0.0,2012-03-21T13:55:00.000,2012-03-21 14:00:00+00:00,2012-03-21T13:55:00.000
31,Jonathan,Jonathan,I,0.0,0.0,2012-03-21T14:00:00.000,2012-03-21 14:05:00+00:00,2012-03-21T14:00:00.000
31,Giorno,Giorno,J,0.0,0.0,2012-03-21T14:05:00.000,2012-03-21 14:10:00+00:00,2012-03-21T14:05:00.000
32,DIO,DIO,A,0.0,0.0,2012-03-21T14:00:00.000,2012-03-21 14:05:00+00:00,2012-03-21T14:00:00.000
32,DIO,DIO,B,0.0,0.0,2012-03-21T14:05:00.000,2012-03-21 14:10:00+00:00,2012-03-21T14:05:00.000
32,DIO,DIO,C,0.0,0.0,2012-03-21T14:10:00.000,2012-03-21 14:15:00+00:00,2012-03-21T14:10:00.000
32,Pucci,Pucci,D,0.0,0.0,2012-03-21T14:15:00.000,2012-03-21 14:20:00+00:00,2012-03-21T14:15:00.000
