activity,case_id,resource,Activity_1,Resource_1,creator,variant,variant_index,end_time,start_time
Radicar Solicitud Homologacion,123964,11653,Radicar Solicitud Homologacion,11653,Fluxicon Disco,Variant 2,2,2016-06-03T17:17:44.000,2016-06-03T17:12:57.000
Validar solicitud,123964,22404,Validar solicitud,22404,Fluxicon Disco,Variant 2,2,2016-06-04T14:56:55.000,2016-06-04T14:56:55.000
Homologacion por grupo de cursos,123964,22404,Homologacion por grupo de cursos,22404,Fluxicon Disco,Variant 2,2,2016-06-07T13:19:54.000,2016-06-07T12:47:54.000
Traer informacion estudiante - banner,124101,11772,Traer informacion estudiante - banner,11772,Fluxicon Disco,Variant 1,1,2016-06-03T12:46:57.000,2016-06-03T12:46:57.000
Radicar Solicitud Homologacion,124101,11772,Radicar Solicitud Homologacion,11772,Fluxicon Disco,Variant 1,1,2016-06-03T12:47:04.000,2016-06-03T12:47:04.000
Cancelar Solicitud,124101,22475,Cancelar Solicitud,22475,Fluxicon Disco,Variant 1,1,2016-06-03T13:05:51.000,2016-06-03T13:03:08.000
Notificacion estudiante cancelacion soli,124101,22475,Notificacion estudiante cancelacion soli,22475,Fluxicon Disco,Variant 1,1,2016-06-03T16:43:07.000,2016-06-03T16:43:07.000
Traer informacion estudiante - banner,124152,12175,Traer informacion estudiante - banner,12175,Fluxicon Disco,Variant 1,1,2016-06-03T17:42:49.000,2016-06-03T17:42:49.000
Radicar Solicitud Homologacion,124152,12175,Radicar Solicitud Homologacion,12175,Fluxicon Disco,Variant 1,1,2016-06-03T18:02:46.000,2016-06-03T17:42:50.000
Cancelar Solicitud,124152,22475,Cancelar Solicitud,22475,Fluxicon Disco,Variant 1,1,2016-06-08T23:39:24.000,2016-06-08T23:39:04.000
Notificacion estudiante cancelacion soli,124152,22475,Notificacion estudiante cancelacion soli,22475,Fluxicon Disco,Variant 1,1,2016-06-09T13:55:18.000,2016-06-09T13:55:18.000
Traer informacion estudiante - banner,124156,8882,Traer informacion estudiante - banner,8882,Fluxicon Disco,Variant 1,1,2016-06-03T19:11:19.000,2016-06-03T19:11:19.000
Radicar Solicitud Homologacion,124156,8882,Radicar Solicitud Homologacion,8882,Fluxicon Disco,Variant 1,1,2016-06-03T19:11:20.000,2016-06-03T19:11:20.000
Cancelar Solicitud,124156,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 1,1,2016-06-03T19:30:47.000,2016-06-03T19:22:17.000
Notificacion estudiante cancelacion soli,124156,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 1,1,2016-06-07T20:30:50.000,2016-06-07T20:30:50.000
Traer informacion estudiante - banner,124158,8882,Traer informacion estudiante - banner,8882,Fluxicon Disco,Variant 1,1,2016-06-03T19:25:01.000,2016-06-03T19:25:01.000
Radicar Solicitud Homologacion,124158,8882,Radicar Solicitud Homologacion,8882,Fluxicon Disco,Variant 1,1,2016-06-03T19:25:02.000,2016-06-03T19:25:02.000
Cancelar Solicitud,124158,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 1,1,2016-06-03T19:38:08.000,2016-06-03T19:29:39.000
Notificacion estudiante cancelacion soli,124158,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 1,1,2016-06-07T20:29:45.000,2016-06-07T20:29:45.000
Traer informacion estudiante - banner,124301,9379,Traer informacion estudiante - banner,9379,Fluxicon Disco,Variant 9,9,2016-06-06T00:14:34.000,2016-06-06T00:14:34.000
Radicar Solicitud Homologacion,124301,9379,Radicar Solicitud Homologacion,9379,Fluxicon Disco,Variant 9,9,2016-06-06T00:14:40.000,2016-06-06T00:14:40.000
Validar solicitud,124301,920,Validar solicitud,920,Fluxicon Disco,Variant 9,9,2016-06-06T00:34:50.000,2016-06-06T00:34:50.000
Cancelar Solicitud,124301,9379,Cancelar Solicitud,9379,Fluxicon Disco,Variant 9,9,2016-06-06T00:36:25.000,2016-06-06T00:34:51.000
Notificacion estudiante cancelacion soli,124301,9379,Notificacion estudiante cancelacion soli,9379,Fluxicon Disco,Variant 9,9,2016-06-07T15:34:18.000,2016-06-07T15:34:18.000
Traer informacion estudiante - banner,124405,9146,Traer informacion estudiante - banner,9146,Fluxicon Disco,Variant 1,1,2016-06-06T14:52:48.000,2016-06-06T14:52:48.000
Radicar Solicitud Homologacion,124405,9146,Radicar Solicitud Homologacion,9146,Fluxicon Disco,Variant 1,1,2016-06-06T14:52:48.000,2016-06-06T14:52:48.000
Cancelar Solicitud,124405,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 1,1,2016-06-06T15:00:09.000,2016-06-06T15:00:09.000
Notificacion estudiante cancelacion soli,124405,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 1,1,2016-06-07T12:59:07.000,2016-06-07T12:59:07.000
Traer informacion estudiante - banner,124501,15315,Traer informacion estudiante - banner,15315,Fluxicon Disco,Variant 1,1,2016-06-06T19:36:21.000,2016-06-06T19:36:21.000
Radicar Solicitud Homologacion,124501,15315,Radicar Solicitud Homologacion,15315,Fluxicon Disco,Variant 1,1,2016-06-06T19:36:24.000,2016-06-06T19:36:24.000
Cancelar Solicitud,124501,6694,Cancelar Solicitud,6694,Fluxicon Disco,Variant 1,1,2016-06-06T20:13:40.000,2016-06-06T20:12:28.000
Notificacion estudiante cancelacion soli,124501,6694,Notificacion estudiante cancelacion soli,6694,Fluxicon Disco,Variant 1,1,2016-06-07T15:12:09.000,2016-06-07T15:12:09.000
Traer informacion estudiante - banner,124564,19746,Traer informacion estudiante - banner,19746,Fluxicon Disco,Variant 1,1,2016-06-07T18:11:04.000,2016-06-07T18:11:04.000
Radicar Solicitud Homologacion,124564,19746,Radicar Solicitud Homologacion,19746,Fluxicon Disco,Variant 1,1,2016-06-07T18:39:06.000,2016-06-07T18:11:06.000
Cancelar Solicitud,124564,241,Cancelar Solicitud,241,Fluxicon Disco,Variant 1,1,2016-06-11T15:46:52.000,2016-06-11T14:35:57.000
Notificacion estudiante cancelacion soli,124564,241,Notificacion estudiante cancelacion soli,241,Fluxicon Disco,Variant 1,1,2016-06-23T22:55:19.000,2016-06-23T22:55:19.000
Traer informacion estudiante - banner,124572,9379,Traer informacion estudiante - banner,9379,Fluxicon Disco,Variant 1,1,2016-06-07T19:03:30.000,2016-06-07T19:03:30.000
Radicar Solicitud Homologacion,124572,9379,Radicar Solicitud Homologacion,9379,Fluxicon Disco,Variant 1,1,2016-06-07T19:05:35.000,2016-06-07T19:03:31.000
Cancelar Solicitud,124572,9379,Cancelar Solicitud,9379,Fluxicon Disco,Variant 1,1,2016-06-07T22:04:10.000,2016-06-07T22:04:06.000
Notificacion estudiante cancelacion soli,124572,9379,Notificacion estudiante cancelacion soli,9379,Fluxicon Disco,Variant 1,1,2016-06-07T22:08:44.000,2016-06-07T22:08:44.000
Traer informacion estudiante - banner,124651,9146,Traer informacion estudiante - banner,9146,Fluxicon Disco,Variant 1,1,2016-06-07T11:16:23.000,2016-06-07T11:16:23.000
Radicar Solicitud Homologacion,124651,9146,Radicar Solicitud Homologacion,9146,Fluxicon Disco,Variant 1,1,2016-06-07T11:16:27.000,2016-06-07T11:16:27.000
Cancelar Solicitud,124651,294,Cancelar Solicitud,294,Fluxicon Disco,Variant 1,1,2016-06-07T13:08:20.000,2016-06-07T11:25:07.000
Notificacion estudiante cancelacion soli,124651,294,Notificacion estudiante cancelacion soli,294,Fluxicon Disco,Variant 1,1,2016-06-23T23:13:52.000,2016-06-23T23:13:52.000
Traer informacion estudiante - banner,124702,9379,Traer informacion estudiante - banner,9379,Fluxicon Disco,Variant 1,1,2016-06-07T15:34:58.000,2016-06-07T15:34:58.000
Radicar Solicitud Homologacion,124702,9379,Radicar Solicitud Homologacion,9379,Fluxicon Disco,Variant 1,1,2016-06-07T15:35:08.000,2016-06-07T15:34:59.000
Cancelar Solicitud,124702,9379,Cancelar Solicitud,9379,Fluxicon Disco,Variant 1,1,2016-06-07T15:48:37.000,2016-06-07T15:44:22.000
Notificacion estudiante cancelacion soli,124702,9379,Notificacion estudiante cancelacion soli,9379,Fluxicon Disco,Variant 1,1,2016-06-07T22:00:08.000,2016-06-07T22:00:08.000
Traer informacion estudiante - banner,124703,9379,Traer informacion estudiante - banner,9379,Fluxicon Disco,Variant 1,1,2016-06-07T15:44:41.000,2016-06-07T15:44:41.000
Radicar Solicitud Homologacion,124703,9379,Radicar Solicitud Homologacion,9379,Fluxicon Disco,Variant 1,1,2016-06-07T15:48:58.000,2016-06-07T15:44:42.000
Cancelar Solicitud,124703,9379,Cancelar Solicitud,9379,Fluxicon Disco,Variant 1,1,2016-06-07T22:01:16.000,2016-06-07T22:01:09.000
Notificacion estudiante cancelacion soli,124703,9379,Notificacion estudiante cancelacion soli,9379,Fluxicon Disco,Variant 1,1,2016-06-07T22:09:02.000,2016-06-07T22:09:02.000
Traer informacion estudiante - banner,124704,5028,Traer informacion estudiante - banner,5028,Fluxicon Disco,Variant 1,1,2016-06-07T16:31:00.000,2016-06-07T16:31:00.000
Radicar Solicitud Homologacion,124704,5028,Radicar Solicitud Homologacion,5028,Fluxicon Disco,Variant 1,1,2016-06-07T16:31:14.000,2016-06-07T16:31:01.000
Cancelar Solicitud,124704,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 1,1,2016-06-07T16:45:58.000,2016-06-07T16:44:15.000
Notificacion estudiante cancelacion soli,124704,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 1,1,2016-06-07T20:28:06.000,2016-06-07T20:28:06.000
Traer informacion estudiante - banner,124712,9379,Traer informacion estudiante - banner,9379,Fluxicon Disco,Variant 2,2,2016-06-07T22:16:39.000,2016-06-07T22:16:39.000
Radicar Solicitud Homologacion,124712,9379,Radicar Solicitud Homologacion,9379,Fluxicon Disco,Variant 2,2,2016-06-07T22:16:42.000,2016-06-07T22:16:40.000
Validar solicitud,124712,920,Validar solicitud,920,Fluxicon Disco,Variant 2,2,2016-06-07T22:36:22.000,2016-06-07T22:18:41.000
Homologacion por grupo de cursos,124712,920,Homologacion por grupo de cursos,920,Fluxicon Disco,Variant 2,2,2016-06-10T14:11:06.000,2016-06-10T13:59:06.000
Traer informacion estudiante - banner,124713,9379,Traer informacion estudiante - banner,9379,Fluxicon Disco,Variant 2,2,2016-06-07T22:19:27.000,2016-06-07T22:19:27.000
Radicar Solicitud Homologacion,124713,9379,Radicar Solicitud Homologacion,9379,Fluxicon Disco,Variant 2,2,2016-06-07T22:19:30.000,2016-06-07T22:19:28.000
Validar solicitud,124713,920,Validar solicitud,920,Fluxicon Disco,Variant 2,2,2016-06-07T22:39:12.000,2016-06-07T22:21:33.000
Homologacion por grupo de cursos,124713,920,Homologacion por grupo de cursos,920,Fluxicon Disco,Variant 2,2,2016-06-10T14:13:10.000,2016-06-10T14:01:12.000
Traer informacion estudiante - banner,124781,29274,Traer informacion estudiante - banner,29274,Fluxicon Disco,Variant 2,2,2016-06-08T21:05:39.000,2016-06-08T21:05:39.000
Radicar Solicitud Homologacion,124781,29274,Radicar Solicitud Homologacion,29274,Fluxicon Disco,Variant 2,2,2016-06-08T21:20:33.000,2016-06-08T21:05:40.000
Validar solicitud,124781,22404,Validar solicitud,22404,Fluxicon Disco,Variant 2,2,2016-06-10T18:03:19.000,2016-06-10T17:59:19.000
Homologacion por grupo de cursos,124781,4560,Homologacion por grupo de cursos,4560,Fluxicon Disco,Variant 2,2,2016-06-13T14:20:56.000,2016-06-13T12:31:23.000
Traer informacion estudiante - banner,124787,11805,Traer informacion estudiante - banner,11805,Fluxicon Disco,Variant 2,2,2016-06-08T23:04:06.000,2016-06-08T23:04:06.000
Radicar Solicitud Homologacion,124787,11805,Radicar Solicitud Homologacion,11805,Fluxicon Disco,Variant 2,2,2016-06-08T23:13:01.000,2016-06-08T23:04:06.000
Validar solicitud,124787,29277,Validar solicitud,29277,Fluxicon Disco,Variant 2,2,2016-06-10T01:12:06.000,2016-06-10T01:08:06.000
Homologacion por grupo de cursos,124787,1007,Homologacion por grupo de cursos,1007,Fluxicon Disco,Variant 2,2,2016-06-10T19:05:17.000,2016-06-10T18:49:17.000
Traer informacion estudiante - banner,124852,7660,Traer informacion estudiante - banner,7660,Fluxicon Disco,Variant 2,2,2016-06-08T16:57:42.000,2016-06-08T16:57:42.000
Radicar Solicitud Homologacion,124852,7660,Radicar Solicitud Homologacion,7660,Fluxicon Disco,Variant 2,2,2016-06-08T16:57:48.000,2016-06-08T16:57:43.000
Validar solicitud,124852,2292,Validar solicitud,2292,Fluxicon Disco,Variant 2,2,2016-06-08T17:04:45.000,2016-06-08T17:03:05.000
Homologacion por grupo de cursos,124852,2292,Homologacion por grupo de cursos,2292,Fluxicon Disco,Variant 2,2,2016-06-08T21:11:09.000,2016-06-08T20:43:53.000
Traer informacion estudiante - banner,124860,9146,Traer informacion estudiante - banner,9146,Fluxicon Disco,Variant 1,1,2016-06-08T23:17:46.000,2016-06-08T23:17:46.000
Radicar Solicitud Homologacion,124860,9146,Radicar Solicitud Homologacion,9146,Fluxicon Disco,Variant 1,1,2016-06-08T23:17:52.000,2016-06-08T23:17:48.000
Cancelar Solicitud,124860,29277,Cancelar Solicitud,29277,Fluxicon Disco,Variant 1,1,2016-06-08T23:26:25.000,2016-06-08T23:21:53.000
Notificacion estudiante cancelacion soli,124860,29277,Notificacion estudiante cancelacion soli,29277,Fluxicon Disco,Variant 1,1,2016-06-09T17:54:43.000,2016-06-09T17:54:43.000
Traer informacion estudiante - banner,124861,9146,Traer informacion estudiante - banner,9146,Fluxicon Disco,Variant 1,1,2016-06-08T23:22:02.000,2016-06-08T23:22:02.000
Radicar Solicitud Homologacion,124861,9146,Radicar Solicitud Homologacion,9146,Fluxicon Disco,Variant 1,1,2016-06-08T23:22:09.000,2016-06-08T23:22:03.000
Cancelar Solicitud,124861,29277,Cancelar Solicitud,29277,Fluxicon Disco,Variant 1,1,2016-06-08T23:33:19.000,2016-06-08T23:28:52.000
Notificacion estudiante cancelacion soli,124861,29277,Notificacion estudiante cancelacion soli,29277,Fluxicon Disco,Variant 1,1,2016-06-09T17:55:52.000,2016-06-09T17:55:52.000
Traer informacion estudiante - banner,124908,29280,Traer informacion estudiante - banner,29280,Fluxicon Disco,Variant 2,2,2016-06-09T15:39:27.000,2016-06-09T15:39:27.000
Radicar Solicitud Homologacion,124908,29280,Radicar Solicitud Homologacion,29280,Fluxicon Disco,Variant 2,2,2016-06-09T15:52:14.000,2016-06-09T15:39:31.000
Validar solicitud,124908,6400,Validar solicitud,6400,Fluxicon Disco,Variant 2,2,2016-06-10T22:24:50.000,2016-06-10T22:22:39.000
Homologacion por grupo de cursos,124908,6520,Homologacion por grupo de cursos,6520,Fluxicon Disco,Variant 2,2,2016-06-13T15:02:03.000,2016-06-13T14:34:38.000
Traer informacion estudiante - banner,124953,11775,Traer informacion estudiante - banner,11775,Fluxicon Disco,Variant 2,2,2016-06-09T19:22:41.000,2016-06-09T19:22:41.000
Radicar Solicitud Homologacion,124953,11775,Radicar Solicitud Homologacion,11775,Fluxicon Disco,Variant 2,2,2016-06-09T19:34:42.000,2016-06-09T19:22:42.000
Validar solicitud,124953,22475,Validar solicitud,22475,Fluxicon Disco,Variant 2,2,2016-06-11T19:08:59.000,2016-06-11T19:04:59.000
Homologacion por grupo de cursos,124953,22475,Homologacion por grupo de cursos,22475,Fluxicon Disco,Variant 2,2,2016-06-13T19:17:51.000,2016-06-13T18:53:51.000
Traer informacion estudiante - banner,125209,8824,Traer informacion estudiante - banner,8824,Fluxicon Disco,Variant 2,2,2016-06-10T17:41:20.000,2016-06-10T17:41:20.000
Radicar Solicitud Homologacion,125209,8824,Radicar Solicitud Homologacion,8824,Fluxicon Disco,Variant 2,2,2016-06-10T17:41:34.000,2016-06-10T17:41:21.000
Validar solicitud,125209,677,Validar solicitud,677,Fluxicon Disco,Variant 2,2,2016-06-10T18:11:05.000,2016-06-10T17:55:01.000
Homologacion por grupo de cursos,125209,677,Homologacion por grupo de cursos,677,Fluxicon Disco,Variant 2,2,2016-06-14T18:36:57.000,2016-06-14T18:36:57.000
Traer informacion estudiante - banner,125214,29281,Traer informacion estudiante - banner,29281,Fluxicon Disco,Variant 5,5,2016-06-10T17:58:51.000,2016-06-10T17:58:51.000
Radicar Solicitud Homologacion,125214,29281,Radicar Solicitud Homologacion,29281,Fluxicon Disco,Variant 5,5,2016-06-10T17:59:02.000,2016-06-10T17:58:52.000
Notificacion estudiante cancelacion soli,125214,1,Notificacion estudiante cancelacion soli,1,Fluxicon Disco,Variant 5,5,2016-06-21T16:33:05.000,2016-06-21T16:33:05.000
Traer informacion estudiante - banner,125219,29281,Traer informacion estudiante - banner,29281,Fluxicon Disco,Variant 5,5,2016-06-10T20:10:22.000,2016-06-10T20:10:22.000
Radicar Solicitud Homologacion,125219,29281,Radicar Solicitud Homologacion,29281,Fluxicon Disco,Variant 5,5,2016-06-10T20:10:39.000,2016-06-10T20:10:23.000
Notificacion estudiante cancelacion soli,125219,1,Notificacion estudiante cancelacion soli,1,Fluxicon Disco,Variant 5,5,2016-06-21T16:51:05.000,2016-06-21T16:51:05.000
Traer informacion estudiante - banner,125304,29276,Traer informacion estudiante - banner,29276,Fluxicon Disco,Variant 1,1,2016-06-11T13:43:58.000,2016-06-11T13:43:58.000
Radicar Solicitud Homologacion,125304,29276,Radicar Solicitud Homologacion,29276,Fluxicon Disco,Variant 1,1,2016-06-11T14:08:47.000,2016-06-11T13:43:59.000
Cancelar Solicitud,125304,7080,Cancelar Solicitud,7080,Fluxicon Disco,Variant 1,1,2016-06-16T14:54:06.000,2016-06-16T14:48:04.000
Notificacion estudiante cancelacion soli,125304,7080,Notificacion estudiante cancelacion soli,7080,Fluxicon Disco,Variant 1,1,2016-06-16T22:50:29.000,2016-06-16T22:50:29.000
Traer informacion estudiante - banner,125351,19572,Traer informacion estudiante - banner,19572,Fluxicon Disco,Variant 1,1,2016-06-11T18:19:44.000,2016-06-11T18:19:44.000
Radicar Solicitud Homologacion,125351,19572,Radicar Solicitud Homologacion,19572,Fluxicon Disco,Variant 1,1,2016-06-11T18:19:52.000,2016-06-11T18:19:52.000
Cancelar Solicitud,125351,19572,Cancelar Solicitud,19572,Fluxicon Disco,Variant 1,1,2016-06-11T18:43:01.000,2016-06-11T18:43:01.000
Notificacion estudiante cancelacion soli,125351,19572,Notificacion estudiante cancelacion soli,19572,Fluxicon Disco,Variant 1,1,2016-06-12T18:01:19.000,2016-06-12T18:01:19.000
Traer informacion estudiante - banner,125401,26259,Traer informacion estudiante - banner,26259,Fluxicon Disco,Variant 1,1,2016-06-12T12:16:15.000,2016-06-12T12:16:15.000
Radicar Solicitud Homologacion,125401,26259,Radicar Solicitud Homologacion,26259,Fluxicon Disco,Variant 1,1,2016-06-12T12:16:20.000,2016-06-12T12:16:20.000
Cancelar Solicitud,125401,26259,Cancelar Solicitud,26259,Fluxicon Disco,Variant 1,1,2016-06-12T12:32:52.000,2016-06-12T12:32:52.000
Notificacion estudiante cancelacion soli,125401,26259,Notificacion estudiante cancelacion soli,26259,Fluxicon Disco,Variant 1,1,2016-06-12T12:35:15.000,2016-06-12T12:35:15.000
Traer informacion estudiante - banner,125402,26259,Traer informacion estudiante - banner,26259,Fluxicon Disco,Variant 1,1,2016-06-12T12:35:34.000,2016-06-12T12:35:34.000
Radicar Solicitud Homologacion,125402,26259,Radicar Solicitud Homologacion,26259,Fluxicon Disco,Variant 1,1,2016-06-12T12:35:35.000,2016-06-12T12:35:35.000
Cancelar Solicitud,125402,26259,Cancelar Solicitud,26259,Fluxicon Disco,Variant 1,1,2016-06-12T12:56:59.000,2016-06-12T12:56:59.000
Notificacion estudiante cancelacion soli,125402,26259,Notificacion estudiante cancelacion soli,26259,Fluxicon Disco,Variant 1,1,2016-06-13T13:41:50.000,2016-06-13T13:41:50.000
Traer informacion estudiante - banner,125555,26259,Traer informacion estudiante - banner,26259,Fluxicon Disco,Variant 1,1,2016-06-13T13:42:07.000,2016-06-13T13:42:07.000
Radicar Solicitud Homologacion,125555,26259,Radicar Solicitud Homologacion,26259,Fluxicon Disco,Variant 1,1,2016-06-13T13:42:07.000,2016-06-13T13:42:07.000
Cancelar Solicitud,125555,29277,Cancelar Solicitud,29277,Fluxicon Disco,Variant 1,1,2016-06-13T13:48:54.000,2016-06-13T13:48:51.000
Notificacion estudiante cancelacion soli,125555,29277,Notificacion estudiante cancelacion soli,29277,Fluxicon Disco,Variant 1,1,2016-06-13T14:03:03.000,2016-06-13T14:03:03.000
Traer informacion estudiante - banner,125559,19692,Traer informacion estudiante - banner,19692,Fluxicon Disco,Variant 1,1,2016-06-13T14:03:46.000,2016-06-13T14:03:46.000
Radicar Solicitud Homologacion,125559,19692,Radicar Solicitud Homologacion,19692,Fluxicon Disco,Variant 1,1,2016-06-13T14:43:42.000,2016-06-13T14:03:46.000
Cancelar Solicitud,125559,29277,Cancelar Solicitud,29277,Fluxicon Disco,Variant 1,1,2016-06-20T12:43:08.000,2016-06-20T12:42:53.000
Notificacion estudiante cancelacion soli,125559,29277,Notificacion estudiante cancelacion soli,29277,Fluxicon Disco,Variant 1,1,2016-06-20T14:15:20.000,2016-06-20T14:15:20.000
Radicar Solicitud Homologacion,118201,7091,Radicar Solicitud Homologacion,7091,Fluxicon Disco,Variant 2,2,2016-05-12T21:19:29.000,2016-05-12T21:19:04.000
Validar solicitud,118201,22534,Validar solicitud,22534,Fluxicon Disco,Variant 2,2,2016-05-12T23:00:46.000,2016-05-12T21:44:15.000
Homologacion por grupo de cursos,118201,7177,Homologacion por grupo de cursos,7177,Fluxicon Disco,Variant 2,2,2016-05-26T18:59:00.000,2016-05-26T16:15:49.000
Traer informacion estudiante - banner,118202,15315,Traer informacion estudiante - banner,15315,Fluxicon Disco,Variant 7,7,2016-05-12T21:19:48.000,2016-05-12T21:19:48.000
Radicar Solicitud Homologacion,118202,15315,Radicar Solicitud Homologacion,15315,Fluxicon Disco,Variant 7,7,2016-05-12T21:20:07.000,2016-05-12T21:19:49.000
Cancelar Solicitud,118202,15315,Cancelar Solicitud,15315,Fluxicon Disco,Variant 7,7,2016-05-12T23:40:56.000,2016-05-12T21:38:35.000
Validar solicitud,118202,6694,Validar solicitud,6694,Fluxicon Disco,Variant 7,7,2016-05-12T21:39:00.000,2016-05-12T21:38:35.000
Notificacion estudiante cancelacion soli,118202,15315,Notificacion estudiante cancelacion soli,15315,Fluxicon Disco,Variant 7,7,2016-06-06T19:35:44.000,2016-06-06T19:35:44.000
Traer informacion estudiante - banner,118203,5858,Traer informacion estudiante - banner,5858,Fluxicon Disco,Variant 1,1,2016-05-12T21:28:15.000,2016-05-12T21:28:15.000
Radicar Solicitud Homologacion,118203,5858,Radicar Solicitud Homologacion,5858,Fluxicon Disco,Variant 1,1,2016-05-12T21:28:33.000,2016-05-12T21:28:16.000
Cancelar Solicitud,118203,22475,Cancelar Solicitud,22475,Fluxicon Disco,Variant 1,1,2016-05-12T21:46:05.000,2016-05-12T21:45:50.000
Notificacion estudiante cancelacion soli,118203,22475,Notificacion estudiante cancelacion soli,22475,Fluxicon Disco,Variant 1,1,2016-05-12T22:01:23.000,2016-05-12T22:01:23.000
Traer informacion estudiante - banner,118205,7091,Traer informacion estudiante - banner,7091,Fluxicon Disco,Variant 2,2,2016-05-12T21:44:26.000,2016-05-12T21:44:26.000
Radicar Solicitud Homologacion,118205,7091,Radicar Solicitud Homologacion,7091,Fluxicon Disco,Variant 2,2,2016-05-12T21:44:34.000,2016-05-12T21:44:29.000
Validar solicitud,118205,22534,Validar solicitud,22534,Fluxicon Disco,Variant 2,2,2016-05-12T23:06:01.000,2016-05-12T21:49:33.000
Homologacion por grupo de cursos,118205,7177,Homologacion por grupo de cursos,7177,Fluxicon Disco,Variant 2,2,2016-05-26T19:16:18.000,2016-05-26T16:17:55.000
Traer informacion estudiante - banner,118207,9336,Traer informacion estudiante - banner,9336,Fluxicon Disco,Variant 2,2,2016-05-12T22:01:01.000,2016-05-12T22:01:01.000
Radicar Solicitud Homologacion,118207,9336,Radicar Solicitud Homologacion,9336,Fluxicon Disco,Variant 2,2,2016-05-12T22:01:09.000,2016-05-12T22:01:02.000
Validar solicitud,118207,677,Validar solicitud,677,Fluxicon Disco,Variant 2,2,2016-05-12T22:16:12.000,2016-05-12T22:08:58.000
Homologacion por grupo de cursos,118207,3445,Homologacion por grupo de cursos,3445,Fluxicon Disco,Variant 2,2,2016-05-13T23:41:39.000,2016-05-13T21:23:03.000
Traer informacion estudiante - banner,118209,2465,Traer informacion estudiante - banner,2465,Fluxicon Disco,Variant 1,1,2016-05-12T22:21:53.000,2016-05-12T22:21:53.000
Radicar Solicitud Homologacion,118209,2465,Radicar Solicitud Homologacion,2465,Fluxicon Disco,Variant 1,1,2016-05-12T22:25:45.000,2016-05-12T22:21:54.000
Cancelar Solicitud,118209,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 1,1,2016-05-13T16:20:29.000,2016-05-13T16:13:31.000
Notificacion estudiante cancelacion soli,118209,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 1,1,2016-05-16T15:12:28.000,2016-05-16T15:12:28.000
Traer informacion estudiante - banner,118251,5858,Traer informacion estudiante - banner,5858,Fluxicon Disco,Variant 7,7,2016-05-12T20:47:13.000,2016-05-12T20:47:13.000
Radicar Solicitud Homologacion,118251,5858,Radicar Solicitud Homologacion,5858,Fluxicon Disco,Variant 7,7,2016-05-12T20:49:41.000,2016-05-12T20:47:16.000
