case_id,start_time,end_time,activity,resource,enabled_time
4,2012-01-23T11:40:41.432,2012-01-23T11:40:42.65,W_Nabellen incomplete dossiers,10889.0,2012-01-23T10:46:07.651+00:00
4,2012-01-23T11:41:00.526,2012-01-23T11:43:06.318,W_Nabellen incomplete dossiers,10889.0,2012-01-23T11:40:42.650+00:00
4,2012-01-27T10:10:13.207,2012-01-27T10:11:17.211,W_Nabellen incomplete dossiers,10899.0,2012-01-23T11:43:06.318+00:00
4,2012-01-27T12:06:43.082,2012-01-27T12:13:39.895,W_Valideren aanvraag,10138.0,2012-01-27T10:11:17.211+00:00
4,2012-01-27T12:51:47.256,2012-01-27T13:02:32.822,W_Valideren aanvraag,10138.0,2012-01-27T12:13:39.895+00:00
5,2012-01-07T09:46:12.506,2012-01-07T09:48:12.256,W_Completeren aanvraag,10929.0,2012-01-07T09:46:12.506+00:00
5,2012-01-07T09:55:22.895,2012-01-07T10:04:42.408,W_Completeren aanvraag,10909.0,2012-01-07T09:48:12.256+00:00
5,2012-01-17T10:52:47.422,2012-01-17T10:56:59.96,W_Nabellen offertes,NOT_SET,2012-01-07T10:04:42.408+00:00
6,2012-01-07T09:48:20.032,2012-01-07T09:50:02.408,W_Completeren aanvraag,10929.0,2012-01-07T09:48:20.032+00:00
6,2012-01-07T09:50:07.272,2012-01-07T09:51:23.357,W_Completeren aanvraag,10929.0,2012-01-07T09:50:02.408+00:00
6,2012-01-07T09:54:13.063,2012-01-07T10:01:13.075,W_Completeren aanvraag,10982.0,2012-01-07T09:51:23.357+00:00
6,2012-01-07T10:16:40.751,2012-01-07T10:16:52.434,W_Nabellen offertes,10982.0,2012-01-07T10:01:13.075+00:00
6,2012-01-17T13:54:42.972,2012-01-17T13:56:42.192,W_Nabellen offertes,10889.0,2012-01-07T10:16:52.434+00:00
7,2012-01-07T09:04:12.635,2012-01-07T09:07:51.572,W_Afhandelen leads,10929.0,2012-01-07T09:04:12.635+00:00
8,2012-01-07T09:53:24.005,2012-01-07T09:57:02.622,W_Completeren aanvraag,10929.0,2012-01-07T09:53:24.005+00:00
8,2012-01-07T10:42:33.413,2012-01-07T10:52:34.231,W_Completeren aanvraag,10913.0,2012-01-07T09:57:02.622+00:00
8,2012-01-17T14:05:02.525,2012-01-17T14:08:26.263,W_Nabellen offertes,11189.0,2012-01-07T10:52:34.231+00:00
9,2012-01-07T10:12:12.875,2012-01-07T10:13:53.854,W_Completeren aanvraag,10929.0,2012-01-07T10:12:12.875+00:00
9,2012-01-07T14:14:01.838,2012-01-07T14:14:56.737,W_Completeren aanvraag,10982.0,2012-01-07T10:13:53.854+00:00
9,2012-01-09T14:27:50.283,2012-01-09T14:27:59.441,W_Completeren aanvraag,11181.0,2012-01-07T14:14:56.737+00:00
9,2012-01-09T19:15:03.644,2012-01-09T19:15:49.61,W_Completeren aanvraag,10863.0,2012-01-09T14:27:59.441+00:00
9,2012-01-10T19:11:09.651,2012-01-10T19:19:54.959,W_Completeren aanvraag,10863.0,2012-01-09T19:15:49.610+00:00
9,2012-01-10T19:20:19.678,2012-01-10T19:20:37.023,W_Nabellen offertes,10863.0,2012-01-10T19:19:54.959+00:00
9,2012-01-18T11:10:26.16,2012-01-18T11:11:50.073,W_Nabellen offertes,10861.0,2012-01-10T19:20:37.023+00:00
9,2012-01-18T19:31:06.329,2012-01-18T19:41:55.211,W_Nabellen offertes,10929.0,2012-01-18T11:11:50.073+00:00
9,2012-01-24T09:15:01.805,2012-01-24T09:20:22.886,W_Nabellen offertes,11169.0,2012-01-18T19:41:55.211+00:00
10,2012-01-07T10:14:02.568,2012-01-07T10:26:10.023,W_Completeren aanvraag,10929.0,2012-01-07T10:14:02.568+00:00
10,2012-01-16T10:32:30.152,2012-01-16T10:32:39.615,W_Nabellen offertes,10899.0,2012-01-07T10:26:10.023+00:00
10,2012-01-18T11:23:13.312,2012-01-18T11:39:55.284,W_Valideren aanvraag,10972.0,2012-01-16T10:32:39.615+00:00
10,2012-01-18T15:27:10.36,2012-01-18T15:37:06.317,W_Nabellen incomplete dossiers,10913.0,2012-01-18T11:39:55.284+00:00
10,2012-01-19T14:19:17.383,2012-01-19T14:21:10.489,W_Nabellen incomplete dossiers,11179.0,2012-01-18T15:37:06.317+00:00
10,2012-01-20T07:24:35.399,2012-01-20T07:24:44.901,W_Valideren aanvraag,10629.0,2012-01-19T14:21:10.489+00:00
10,2012-01-23T10:56:10.296,2012-01-23T11:41:37.987,W_Valideren aanvraag,10932.0,2012-01-20T07:24:44.901+00:00
10,2012-01-23T13:59:05.698,2012-01-23T14:15:40.67,W_Valideren aanvraag,10972.0,2012-01-23T11:41:37.987+00:00
11,2012-01-07T09:07:57.573,2012-01-07T09:09:54.543,W_Afhandelen leads,10929.0,2012-01-07T09:07:57.573+00:00
12,2012-01-07T09:10:15.541,2012-01-07T09:11:47.888,W_Afhandelen leads,10929.0,2012-01-07T09:10:15.541+00:00
12,2012-01-07T10:12:16.645,2012-01-07T10:20:25.577,W_Completeren aanvraag,10982.0,2012-01-07T09:11:47.888+00:00
12,2012-01-07T10:20:38.4,2012-01-07T10:20:46.385,W_Nabellen offertes,10982.0,2012-01-07T10:20:25.577+00:00
12,2012-01-10T15:23:08.599,2012-01-11T05:15:05.12,W_Nabellen offertes,11049.0,2012-01-07T10:20:46.385+00:00
12,2012-01-16T10:03:23.962,2012-01-16T10:03:52.53,W_Nabellen offertes,11049.0,2012-01-11T05:15:05.120+00:00
12,2012-01-18T08:43:15.33,2012-01-18T09:20:18.475,W_Valideren aanvraag,10629.0,2012-01-16T10:03:52.530+00:00
12,2012-01-18T11:20:07.128,2012-01-18T11:28:58.905,W_Nabellen incomplete dossiers,11169.0,2012-01-18T09:20:18.475+00:00
12,2012-01-18T13:20:17.254,2012-01-18T13:21:01.568,W_Nabellen incomplete dossiers,10899.0,2012-01-18T11:28:58.905+00:00
12,2012-01-18T14:22:19.15,2012-01-18T14:26:22.812,W_Valideren aanvraag,10629.0,2012-01-18T13:21:01.568+00:00
13,2012-01-07T09:11:53.128,2012-01-07T09:14:56.374,W_Afhandelen leads,10929.0,2012-01-07T09:11:53.128+00:00
14,2012-01-07T09:14:16.923,2012-01-07T09:15:53.17,W_Afhandelen leads,10982.0,2012-01-07T09:14:16.923+00:00
15,2012-01-07T09:16:28.424,2012-01-07T09:17:29.01,W_Afhandelen leads,10982.0,2012-01-07T09:16:28.424+00:00
15,2012-01-07T09:17:32.258,2012-01-07T09:27:30.358,W_Afhandelen leads,10929.0,2012-01-07T09:17:29.010+00:00
15,2012-01-07T09:27:32.091,2012-01-07T09:31:50.195,W_Afhandelen leads,10929.0,2012-01-07T09:27:30.358+00:00
16,2012-01-07T11:24:51.02,2012-01-07T11:41:55.987,W_Completeren aanvraag,10929.0,2012-01-07T11:24:51.020+00:00
16,2012-01-17T11:03:16.381,2012-01-17T11:04:40.095,W_Nabellen offertes,NOT_SET,2012-01-07T11:41:55.987+00:00
16,2012-01-17T11:15:35.371,2012-01-17T11:16:35.113,W_Nabellen offertes,10932.0,2012-01-17T11:04:40.095+00:00
16,2012-01-17T11:43:21.582,2012-01-17T11:43:35.186,W_Nabellen offertes,11049.0,2012-01-17T11:16:35.113+00:00
16,2012-01-19T08:59:24.854,2012-01-19T09:31:15.696,W_Valideren aanvraag,10972.0,2012-01-17T11:43:35.186+00:00
16,2012-01-19T10:03:00.094,2012-01-19T10:04:39.58,W_Nabellen incomplete dossiers,10972.0,2012-01-19T09:31:15.696+00:00
16,2012-01-19T12:15:00.645,2012-01-19T12:23:09.378,W_Nabellen incomplete dossiers,11179.0,2012-01-19T10:04:39.580+00:00
16,2012-01-19T12:26:44.59,2012-01-19T13:00:53.585,W_Nabellen incomplete dossiers,11179.0,2012-01-19T12:23:09.378+00:00
16,2012-01-19T19:13:46.893,2012-01-19T19:25:09.802,W_Nabellen incomplete dossiers,11002.0,2012-01-19T13:00:53.585+00:00
16,2012-01-19T19:25:13.125,2012-01-19T19:25:38.764,W_Nabellen incomplete dossiers,11002.0,2012-01-19T19:25:09.802+00:00
16,2012-01-20T09:58:07.091,2012-01-20T10:00:00.078,W_Valideren aanvraag,10929.0,2012-01-19T19:25:38.764+00:00
16,2012-01-20T10:19:01.898,2012-01-20T10:26:35.824,W_Valideren aanvraag,10972.0,2012-01-20T10:00:00.078+00:00
16,2012-01-20T10:56:33.221,2012-01-20T11:04:18.697,W_Valideren aanvraag,10972.0,2012-01-20T10:26:35.824+00:00
17,2012-01-07T11:45:49.163,2012-01-07T11:57:50.417,W_Completeren aanvraag,10929.0,2012-01-07T11:45:49.163+00:00
18,2012-01-07T11:58:02.142,2012-01-07T12:12:30.741,W_Completeren aanvraag,10929.0,2012-01-07T11:58:02.142+00:00
18,2012-01-17T12:57:48.159,2012-01-17T12:59:50.124,W_Nabellen offertes,11189.0,2012-01-07T12:12:30.741+00:00
18,2012-01-18T10:30:10.159,2012-01-18T10:30:24.086,W_Nabellen offertes,11259.0,2012-01-17T12:59:50.124+00:00
18,2012-01-23T10:25:32.33,2012-01-23T10:37:32.769,W_Valideren aanvraag,10138.0,2012-01-18T10:30:24.086+00:00
19,2012-01-09T08:40:15.301,2012-01-09T08:40:21.93,W_Beoordelen fraude,10188.0,2012-01-09T08:40:15.301+00:00
19,2012-01-09T08:51:07.528,2012-01-09T08:51:18.166,W_Beoordelen fraude,10188.0,2012-01-09T08:40:21.930+00:00
20,2012-01-07T11:15:49.399,2012-01-07T11:19:12.051,W_Afhandelen leads,10982.0,2012-01-07T11:15:49.399+00:00
20,2012-01-07T13:33:58.224,2012-01-07T13:35:41.509,W_Completeren aanvraag,10909.0,2012-01-07T11:19:12.051+00:00
20,2012-01-09T11:25:24.502,2012-01-09T11:26:38.857,W_Completeren aanvraag,11179.0,2012-01-07T13:35:41.509+00:00
20,2012-01-09T17:58:27.608,2012-01-09T18:11:39.858,W_Completeren aanvraag,10863.0,2012-01-09T11:26:38.857+00:00
20,2012-01-09T19:22:02.03,2012-01-09T19:23:07.621,W_Completeren aanvraag,10863.0,2012-01-09T18:11:39.858+00:00
20,2012-01-11T10:05:37.963,2012-01-11T10:06:24.706,W_Completeren aanvraag,10861.0,2012-01-09T19:23:07.621+00:00
20,2012-01-12T12:44:13.648,2012-01-12T12:44:24.466,W_Completeren aanvraag,11169.0,2012-01-11T10:06:24.706+00:00
20,2012-01-14T10:32:51.47,2012-01-14T10:33:48.617,W_Completeren aanvraag,10861.0,2012-01-12T12:44:24.466+00:00
20,2012-01-14T14:44:05.365,2012-01-14T14:44:21.311,W_Completeren aanvraag,10861.0,2012-01-14T10:33:48.617+00:00
20,2012-01-17T10:47:37.795,2012-01-17T10:48:08.48,W_Completeren aanvraag,11169.0,2012-01-14T14:44:21.311+00:00
20,2012-01-18T13:29:43.516,2012-01-18T13:37:16.22,W_Completeren aanvraag,10861.0,2012-01-17T10:48:08.480+00:00
21,2012-01-07T11:19:14.584,2012-01-07T11:20:49.152,W_Afhandelen leads,10982.0,2012-01-07T11:19:14.584+00:00
22,2012-01-07T11:15:11.983,2012-01-07T11:15:39.428,W_Afhandelen leads,10982.0,2012-01-07T11:15:11.983+00:00
22,2012-01-07T13:37:42.25,2012-01-07T13:43:19.163,W_Completeren aanvraag,10909.0,2012-01-07T11:15:39.428+00:00
22,2012-01-07T14:16:30.078,2012-01-07T14:23:14.961,W_Completeren aanvraag,10913.0,2012-01-07T13:43:19.163+00:00
22,2012-01-07T14:43:41.489,2012-01-07T14:47:59.285,W_Completeren aanvraag,10912.0,2012-01-07T14:23:14.961+00:00
23,2012-01-07T10:49:42.556,2012-01-07T11:13:56.043,W_Completeren aanvraag,10929.0,2012-01-07T10:49:42.556+00:00
23,2012-01-07T11:15:17.461,2012-01-07T11:23:57.863,W_Nabellen offertes,10929.0,2012-01-07T11:13:56.043+00:00
23,2012-01-16T10:30:16.507,2012-01-16T10:30:28.087,W_Nabellen offertes,10899.0,2012-01-07T11:23:57.863+00:00
23,2012-01-18T14:31:19.777,2012-01-18T14:32:51.473,W_Valideren aanvraag,10809.0,2012-01-16T10:30:28.087+00:00
23,2012-01-18T14:42:31.647,2012-01-18T15:09:58.779,W_Valideren aanvraag,10809.0,2012-01-18T14:32:51.473+00:00
24,2012-01-07T12:32:47.411,2012-01-07T12:35:02.824,W_Completeren aanvraag,10929.0,2012-01-07T12:32:47.411+00:00
24,2012-01-07T13:35:52.327,2012-01-07T13:37:16.896,W_Completeren aanvraag,10909.0,2012-01-07T12:35:02.824+00:00
24,2012-01-09T11:26:46.582,2012-01-09T11:28:48.769,W_Completeren aanvraag,11179.0,2012-01-07T13:37:16.896+00:00
24,2012-01-09T19:17:55.368,2012-01-09T19:18:35.3,W_Completeren aanvraag,10863.0,2012-01-09T11:28:48.769+00:00
24,2012-01-10T18:01:44.331,2012-01-10T18:08:07.501,W_Completeren aanvraag,10863.0,2012-01-09T19:18:35.300+00:00
25,2012-01-07T13:38:37.52,2012-01-07T13:40:42.328,W_Completeren aanvraag,10929.0,2012-01-07T13:38:37.520+00:00
25,2012-01-07T14:12:22.919,2012-01-07T14:18:19.626,W_Completeren aanvraag,10929.0,2012-01-07T13:40:42.328+00:00
26,2012-01-07T15:38:12.981,2012-01-07T15:45:26.936,W_Completeren aanvraag,10913.0,2012-01-07T15:38:12.981+00:00
26,2012-01-07T15:52:30.32,2012-01-07T15:53:35.509,W_Nabellen offertes,10913.0,2012-01-07T15:45:26.936+00:00
26,2012-01-17T14:10:47.777,2012-01-17T14:17:40.9,W_Nabellen offertes,11003.0,2012-01-07T15:53:35.509+00:00
26,2012-01-18T17:37:18.141,2012-01-18T17:38:41.282,W_Nabellen offertes,11201.0,2012-01-17T14:17:40.900+00:00
26,2012-01-19T09:58:00.873,2012-01-19T09:58:46.281,W_Nabellen offertes,10909.0,2012-01-18T17:38:41.282+00:00
27,2012-01-07T14:12:57.22,2012-01-07T14:13:16.806,W_Afhandelen leads,10982.0,2012-01-07T14:12:57.220+00:00
28,2012-01-07T14:38:58.312,2012-01-07T14:44:47.63,W_Afhandelen leads,10913.0,2012-01-07T14:38:58.312+00:00
28,2012-01-07T14:45:00.096,2012-01-07T15:15:48.199,W_Completeren aanvraag,10913.0,2012-01-07T14:44:47.630+00:00
28,2012-01-13T15:25:28.316,2012-01-13T15:25:46.198,W_Nabellen offertes,10789.0,2012-01-07T15:15:48.199+00:00
28,2012-01-17T14:20:30.09,2012-01-17T14:50:29.002,W_Valideren aanvraag,10138.0,2012-01-13T15:25:46.198+00:00
29,2012-01-09T08:06:33.248,2012-01-09T08:08:55.149,W_Completeren aanvraag,NOT_SET,2012-01-09T08:06:33.248+00:00
29,2012-01-09T15:03:12.299,2012-01-09T15:17:28.638,W_Completeren aanvraag,11181.0,2012-01-09T08:08:55.149+00:00
29,2012-01-09T15:18:45.421,2012-01-09T15:23:28.15,W_Nabellen offertes,11181.0,2012-01-09T15:17:28.638+00:00
29,2012-01-17T11:30:56.864,2012-01-17T11:33:42.641,W_Nabellen offertes,NOT_SET,2012-01-09T15:23:28.150+00:00
29,2012-01-21T09:47:03.874,2012-01-21T09:52:16.921,W_Nabellen offertes,11019.0,2012-01-17T11:33:42.641+00:00
29,2012-01-28T13:30:34.503,2012-01-28T13:32:05.812,W_Nabellen offertes,10982.0,2012-01-21T09:52:16.921+00:00
29,2012-02-06T10:30:39.149,2012-02-06T10:30:56.14,W_Nabellen offertes,10899.0,2012-01-28T13:32:05.812+00:00
29,2012-02-09T10:53:09.633,2012-02-09T11:22:00.86,W_Valideren aanvraag,10809.0,2012-02-06T10:30:56.140+00:00
29,2012-02-09T11:24:34.205,2012-02-09T11:33:23.375,W_Nabellen incomplete dossiers,11180.0,2012-02-09T11:22:00.860+00:00
29,2012-02-09T15:32:22.212,2012-02-09T15:33:12.163,W_Nabellen incomplete dossiers,11259.0,2012-02-09T11:33:23.375+00:00
29,2012-02-10T06:56:46.177,2012-02-10T07:16:58.796,W_Valideren aanvraag,10809.0,2012-02-09T15:33:12.163+00:00
29,2012-02-10T08:35:03.423,2012-02-10T08:36:27.757,W_Nabellen incomplete dossiers,10982.0,2012-02-10T07:16:58.796+00:00
29,2012-02-10T09:40:08.979,2012-02-10T09:40:18.211,W_Nabellen incomplete dossiers,10982.0,2012-02-10T08:36:27.757+00:00
29,2012-02-10T09:48:42.659,2012-02-10T09:48:52.677,W_Nabellen incomplete dossiers,10932.0,2012-02-10T09:40:18.211+00:00
29,2012-02-11T13:10:49.349,2012-02-11T13:12:59.218,W_Nabellen incomplete dossiers,11181.0,2012-02-10T09:48:52.677+00:00
30,2012-01-09T08:09:43.012,2012-01-09T08:12:14.054,W_Completeren aanvraag,NOT_SET,2012-01-09T08:09:43.012+00:00
30,2012-01-09T09:43:39.546,2012-01-09T09:49:10.768,W_Completeren aanvraag,10931.0,2012-01-09T08:12:14.054+00:00
30,2012-01-17T11:20:53.761,2012-01-17T11:22:44.729,W_Nabellen offertes,NOT_SET,2012-01-09T09:49:10.768+00:00
30,2012-01-18T10:02:27.037,2012-01-18T10:03:28.371,W_Nabellen offertes,10881.0,2012-01-17T11:22:44.729+00:00
31,2012-01-09T08:10:17.29,2012-01-09T08:15:10.431,W_Afhandelen leads,10931.0,2012-01-09T08:10:17.290+00:00
32,2012-01-09T08:15:17.729,2012-01-09T08:21:06.78,W_Afhandelen leads,10931.0,2012-01-09T08:15:17.729+00:00
33,2012-01-09T08:15:40.144,2012-01-09T08:18:16.695,W_Completeren aanvraag,NOT_SET,2012-01-09T08:15:40.144+00:00
33,2012-01-09T13:30:14.864,2012-01-09T13:35:38.389,W_Completeren aanvraag,NOT_SET,2012-01-09T08:18:16.695+00:00
34,2012-01-09T08:17:33.928,2012-01-09T08:21:40.654,W_Completeren aanvraag,11181.0,2012-01-09T08:17:33.928+00:00
34,2012-01-09T09:18:24.976,2012-01-09T09:26:18.457,W_Completeren aanvraag,11009.0,2012-01-09T08:21:40.654+00:00
34,2012-01-09T09:26:45.672,2012-01-09T09:30:36.688,W_Nabellen offertes,11009.0,2012-01-09T09:26:18.457+00:00
34,2012-01-09T15:25:59.094,2012-01-09T15:27:34.317,W_Nabellen offertes,11049.0,2012-01-09T09:30:36.688+00:00
34,2012-01-10T08:15:53.883,2012-01-10T08:29:20.506,W_Nabellen offertes,10138.0,2012-01-09T15:27:34.317+00:00
34,2012-01-10T08:36:46.669,2012-01-10T08:37:35.285,W_Nabellen offertes,10912.0,2012-01-10T08:29:20.506+00:00
34,2012-01-10T08:48:20.271,2012-01-10T08:54:45.146,W_Nabellen offertes,10912.0,2012-01-10T08:37:35.285+00:00
34,2012-01-10T09:04:04.413,2012-01-10T09:12:34.218,W_Nabellen offertes,10912.0,2012-01-10T08:54:45.146+00:00
34,2012-01-10T09:14:07.211,2012-01-10T09:20:38.26,W_Nabellen offertes,10912.0,2012-01-10T09:12:34.218+00:00
34,2012-01-13T15:24:32.061,2012-01-13T15:24:42.712,W_Nabellen offertes,10789.0,2012-01-10T09:20:38.260+00:00
34,2012-01-17T14:42:02.991,2012-01-17T14:58:55.586,W_Valideren aanvraag,10972.0,2012-01-13T15:24:42.712+00:00
35,2012-01-09T08:22:11.756,2012-01-09T09:49:49.212,W_Afhandelen leads,10931.0,2012-01-09T08:22:11.756+00:00
35,2012-01-09T09:49:54.846,2012-01-09T09:54:02.945,W_Afhandelen leads,10931.0,2012-01-09T09:49:49.212+00:00
35,2012-01-09T11:53:04.375,2012-01-10T05:15:04.345,W_Completeren aanvraag,11179.0,2012-01-09T09:54:02.945+00:00
35,2012-01-10T10:54:34.949,2012-01-10T10:57:07.472,W_Completeren aanvraag,NOT_SET,2012-01-10T05:15:04.345+00:00
35,2012-01-11T10:52:35.57,2012-01-11T11:11:00.16,W_Completeren aanvraag,10932.0,2012-01-10T10:57:07.472+00:00
36,2012-01-09T08:32:37.323,2012-01-09T08:36:29.153,W_Afhandelen leads,10931.0,2012-01-09T08:32:37.323+00:00
36,2012-01-09T13:28:34.679,2012-01-09T13:28:50.057,W_Completeren aanvraag,11181.0,2012-01-09T08:36:29.153+00:00
36,2012-01-09T17:23:23.294,2012-01-09T17:25:20.953,W_Completeren aanvraag,10929.0,2012-01-09T13:28:50.057+00:00
36,2012-01-09T17:51:42.02,2012-01-09T18:07:31.865,W_Completeren aanvraag,10929.0,2012-01-09T17:25:20.953+00:00
36,2012-01-09T18:07:45.518,2012-01-09T19:00:16.044,W_Nabellen offertes,10929.0,2012-01-09T18:07:31.865+00:00
36,2012-01-09T19:00:27.518,2012-01-09T19:18:35.78,W_Nabellen offertes,10929.0,2012-01-09T19:00:16.044+00:00
36,2012-01-14T12:26:54.676,2012-01-14T12:33:19.925,W_Nabellen offertes,10932.0,2012-01-09T19:18:35.780+00:00
36,2012-01-14T13:39:45.072,2012-01-14T13:42:28.374,W_Nabellen offertes,10931.0,2012-01-14T12:33:19.925+00:00
36,2012-01-14T14:42:05.61,2012-01-14T14:45:05.505,W_Nabellen offertes,10929.0,2012-01-14T13:42:28.374+00:00
36,2012-01-16T08:24:52.118,2012-01-16T08:25:28.091,W_Nabellen offertes,10910.0,2012-01-14T14:45:05.505+00:00
36,2012-01-16T08:25:38.21,2012-01-16T08:26:23.317,W_Nabellen offertes,10910.0,2012-01-16T08:25:28.091+00:00
36,2012-01-20T08:59:03.379,2012-01-20T09:01:28.635,W_Nabellen offertes,10789.0,2012-01-16T08:26:23.317+00:00
36,2012-01-24T14:46:47.63,2012-01-24T15:03:45.967,W_Valideren aanvraag,10138.0,2012-01-20T09:01:28.635+00:00
36,2012-01-24T15:41:12.761,2012-01-24T15:41:49.997,W_Nabellen incomplete dossiers,10910.0,2012-01-24T15:03:45.967+00:00
36,2012-01-24T16:34:19.869,2012-01-24T16:34:27.865,W_Nabellen incomplete dossiers,10910.0,2012-01-24T15:41:49.997+00:00
36,2012-01-24T16:43:05.571,2012-01-24T16:43:56.456,W_Nabellen incomplete dossiers,10910.0,2012-01-24T16:34:27.865+00:00
36,2012-01-24T16:44:06.684,2012-01-24T16:44:58.744,W_Nabellen incomplete dossiers,10910.0,2012-01-24T16:43:56.456+00:00
37,2012-01-09T08:36:40.21,2012-01-09T08:38:50.498,W_Afhandelen leads,10931.0,2012-01-09T08:36:40.210+00:00
37,2012-01-09T13:29:33.247,2012-01-09T13:31:33.674,W_Completeren aanvraag,11181.0,2012-01-09T08:38:50.498+00:00
37,2012-01-09T18:12:39.481,2012-01-09T18:20:04.928,W_Completeren aanvraag,10881.0,2012-01-09T13:31:33.674+00:00
38,2012-01-09T08:30:29.315,2012-01-09T08:30:45.176,W_Completeren aanvraag,11181.0,2012-01-09T08:30:29.315+00:00
38,2012-01-09T10:24:14.565,2012-01-09T10:35:20.617,W_Completeren aanvraag,11179.0,2012-01-09T08:30:45.176+00:00
38,2012-01-10T15:17:48.989,2012-01-10T15:18:44.192,W_Nabellen offertes,10982.0,2012-01-09T10:35:20.617+00:00
38,2012-01-13T15:28:10.184,2012-01-13T15:28:28.481,W_Nabellen offertes,11259.0,2012-01-10T15:18:44.192+00:00
38,2012-01-17T14:27:33.091,2012-01-17T14:55:11.352,W_Valideren aanvraag,10609.0,2012-01-13T15:28:28.481+00:00
39,2012-01-09T08:38:56.741,2012-01-09T08:41:21.325,W_Afhandelen leads,10931.0,2012-01-09T08:38:56.741+00:00
40,2012-01-09T08:21:12.713,2012-01-09T08:33:44.42,W_Completeren aanvraag,NOT_SET,2012-01-09T08:21:12.713+00:00
40,2012-01-17T14:12:28.033,2012-01-17T14:14:56.562,W_Nabellen offertes,11189.0,2012-01-09T08:33:44.420+00:00
40,2012-01-17T14:28:20.743,2012-01-17T14:34:34.099,W_Nabellen offertes,11189.0,2012-01-17T14:14:56.562+00:00
40,2012-01-23T10:38:19.128,2012-01-23T10:38:25.09,W_Nabellen offertes,11180.0,2012-01-17T14:34:34.099+00:00
40,2012-01-23T11:11:56.151,2012-01-23T11:12:20.063,W_Nabellen offertes,11180.0,2012-01-23T10:38:25.090+00:00
40,2012-01-23T19:32:42.225,2012-01-23T19:41:01.911,W_Nabellen offertes,11203.0,2012-01-23T11:12:20.063+00:00
40,2012-01-23T19:41:09.491,2012-01-23T19:43:33.259,W_Nabellen offertes,11203.0,2012-01-23T19:41:01.911+00:00
