activity,case_id,resource,end_time,start_time,enabled_time
Validar solicitud,3,22404,2016-04-16T01:11:34.000,2016-04-16T01:11:34.000,2016-04-16T01:08:49.000+00:00
Homologacion por grupo de cursos,3,22404,2016-04-18T01:07:16.000,2016-04-18T01:07:16.000,2016-04-16T01:11:34.000+00:00
Revisar curso,3,22404,2016-04-18T01:07:16.000,2016-04-18T01:07:16.000,2016-04-16T01:11:34.000+00:00
Cancelar curso,3,22404,2016-04-18T01:07:16.000,2016-04-18T01:07:16.000,2016-04-16T01:11:34.000+00:00
Traer informacion estudiante - banner,4,13544,2016-04-16T01:11:50.000,2016-04-16T01:11:50.000,2016-04-16T01:11:50.000+00:00
Radicar Solicitud Homologacion,4,13544,2016-04-16T01:11:51.000,2016-04-16T01:11:51.000,2016-04-16T01:11:50.000+00:00
Validar solicitud,4,22404,2016-04-16T01:17:47.000,2016-04-16T01:17:47.000,2016-04-16T01:11:51.000+00:00
Homologacion por grupo de cursos,4,22404,2016-04-18T01:11:40.000,2016-04-18T01:11:40.000,2016-04-16T01:17:47.000+00:00
Revisar curso,4,22404,2016-04-18T01:11:40.000,2016-04-18T01:11:40.000,2016-04-16T01:17:47.000+00:00
Cancelar curso,4,22404,2016-04-18T01:11:40.000,2016-04-18T01:11:40.000,2016-04-16T01:17:47.000+00:00
Traer informacion estudiante - banner,5,13544,2016-04-16T01:17:58.000,2016-04-16T01:17:58.000,2016-04-16T01:17:58.000+00:00
Radicar Solicitud Homologacion,5,13544,2016-04-16T01:17:59.000,2016-04-16T01:17:59.000,2016-04-16T01:17:58.000+00:00
Validar solicitud,5,22404,2016-04-16T01:20:50.000,2016-04-16T01:20:50.000,2016-04-16T01:17:59.000+00:00
Homologacion por grupo de cursos,5,22404,2016-04-18T01:13:53.000,2016-04-18T01:13:53.000,2016-04-16T01:20:50.000+00:00
Revisar curso,5,22404,2016-04-18T01:13:53.000,2016-04-18T01:13:53.000,2016-04-16T01:20:50.000+00:00
Cancelar curso,5,22404,2016-04-18T01:13:53.000,2016-04-18T01:13:53.000,2016-04-16T01:20:50.000+00:00
Traer informacion estudiante - banner,6,13544,2016-04-16T01:25:08.000,2016-04-16T01:25:08.000,2016-04-16T01:25:08.000+00:00
Radicar Solicitud Homologacion,6,13544,2016-04-16T01:25:09.000,2016-04-16T01:25:09.000,2016-04-16T01:25:08.000+00:00
Validar solicitud,6,22404,2016-04-16T01:28:14.000,2016-04-16T01:28:14.000,2016-04-16T01:25:09.000+00:00
Homologacion por grupo de cursos,6,22404,2016-04-18T01:18:22.000,2016-04-18T01:18:22.000,2016-04-16T01:28:14.000+00:00
Revisar curso,6,22404,2016-04-18T01:18:22.000,2016-04-18T01:18:22.000,2016-04-16T01:28:14.000+00:00
Cancelar curso,6,22404,2016-04-18T01:18:22.000,2016-04-18T01:18:22.000,2016-04-16T01:28:14.000+00:00
Traer informacion estudiante - banner,7,11829,2016-04-16T16:00:44.000,2016-04-16T16:00:44.000,2016-04-16T16:00:44.000+00:00
Radicar Solicitud Homologacion,7,11829,2016-04-16T16:00:51.000,2016-04-16T16:00:51.000,2016-04-16T16:00:44.000+00:00
Validar solicitud,7,22475,2016-04-16T16:23:12.000,2016-04-16T16:23:12.000,2016-04-16T16:00:51.000+00:00
Homologacion por grupo de cursos,7,1343,2016-04-18T15:48:24.000,2016-04-18T12:41:14.000,2016-04-16T16:23:12.000+00:00
Revisar curso,7,26757,2016-04-18T12:44:39.000,2016-04-18T12:41:15.000,2016-04-16T16:23:12.000+00:00
Evaluacion curso,7,26757,2016-04-18T16:25:01.000,2016-04-18T16:24:26.000,2016-04-18T12:44:39.000+00:00
Validacion final,7,22475,2016-04-18T18:00:36.000,2016-04-18T17:59:35.000,2016-04-18T16:25:01.000+00:00
Visto Bueno Cierre Proceso,7,1343,2016-04-18T23:03:22.000,2016-04-18T20:01:14.000,2016-04-18T18:00:36.000+00:00
Traer informacion estudiante - banner,8,6723,2016-04-16T20:16:59.000,2016-04-16T20:16:59.000,2016-04-16T20:16:59.000+00:00
Radicar Solicitud Homologacion,8,6723,2016-04-16T20:17:03.000,2016-04-16T20:17:03.000,2016-04-16T20:16:59.000+00:00
Validar solicitud,8,677,2016-04-16T20:29:17.000,2016-04-16T20:28:21.000,2016-04-16T20:17:03.000+00:00
Homologacion por grupo de cursos,8,3445,2016-04-18T14:04:26.000,2016-04-18T13:56:18.000,2016-04-18T13:56:18.000+00:00
Validacion final,8,677,2016-04-18T13:56:18.000,2016-04-18T13:56:18.000,2016-04-16T20:29:17.000+00:00
Visto Bueno Cierre Proceso,8,3445,2016-04-18T14:04:48.000,2016-04-18T13:56:41.000,2016-04-18T13:56:18.000+00:00
Traer informacion estudiante - banner,9,6723,2016-04-16T21:11:14.000,2016-04-16T21:11:14.000,2016-04-16T21:11:14.000+00:00
Radicar Solicitud Homologacion,9,6723,2016-04-16T21:11:16.000,2016-04-16T21:11:16.000,2016-04-16T21:11:14.000+00:00
Validar solicitud,9,677,2016-04-16T21:32:29.000,2016-04-16T21:31:40.000,2016-04-16T21:11:16.000+00:00
Cancelar Solicitud,9,6723,2016-04-16T23:26:13.000,2016-04-16T21:31:41.000,2016-04-16T21:11:16.000+00:00
Revisar curso,9,677,2016-04-18T13:49:29.000,2016-04-18T13:49:29.000,2016-04-16T23:26:13.000+00:00
Notificacion estudiante cancelacion soli,9,6723,2016-05-06T15:32:31.000,2016-05-06T15:32:31.000,2016-04-18T13:49:29.000+00:00
Traer informacion estudiante - banner,10,6723,2016-04-16T21:34:08.000,2016-04-16T21:34:08.000,2016-04-16T21:34:08.000+00:00
Radicar Solicitud Homologacion,10,6723,2016-04-16T21:34:10.000,2016-04-16T21:34:10.000,2016-04-16T21:34:08.000+00:00
Cancelar Solicitud,10,6723,2016-04-16T23:32:33.000,2016-04-16T21:38:01.000,2016-04-16T21:34:10.000+00:00
Validar solicitud,10,677,2016-04-16T21:38:58.000,2016-04-16T21:38:01.000,2016-04-16T21:34:10.000+00:00
Revisar curso,10,677,2016-04-18T13:57:09.000,2016-04-18T13:57:09.000,2016-04-16T23:32:33.000+00:00
Notificacion estudiante cancelacion soli,10,6723,2016-05-06T15:32:59.000,2016-05-06T15:32:59.000,2016-04-18T13:57:09.000+00:00
Traer informacion estudiante - banner,11,24536,2016-04-17T14:33:43.000,2016-04-17T14:33:43.000,2016-04-17T14:33:43.000+00:00
Radicar Solicitud Homologacion,11,24536,2016-04-17T14:33:50.000,2016-04-17T14:33:50.000,2016-04-17T14:33:43.000+00:00
Cancelar Solicitud,11,294,2016-04-17T17:50:24.000,2016-04-17T16:53:41.000,2016-04-17T14:33:50.000+00:00
Notificacion estudiante cancelacion soli,11,294,2016-04-27T13:43:53.000,2016-04-27T13:43:53.000,2016-04-17T17:50:24.000+00:00
Traer informacion estudiante - banner,12,24536,2016-04-17T16:54:12.000,2016-04-17T16:54:12.000,2016-04-17T16:54:12.000+00:00
Radicar Solicitud Homologacion,12,24536,2016-04-17T16:54:16.000,2016-04-17T16:54:16.000,2016-04-17T16:54:12.000+00:00
Cancelar Solicitud,12,294,2016-04-17T17:56:14.000,2016-04-17T16:59:29.000,2016-04-17T16:54:16.000+00:00
Notificacion estudiante cancelacion soli,12,294,2016-04-27T13:45:00.000,2016-04-27T13:45:00.000,2016-04-17T17:56:14.000+00:00
Traer informacion estudiante - banner,13,341,2016-04-17T16:58:28.000,2016-04-17T16:58:28.000,2016-04-17T16:58:28.000+00:00
Radicar Solicitud Homologacion,13,341,2016-04-17T16:58:29.000,2016-04-17T16:58:29.000,2016-04-17T16:58:28.000+00:00
Cancelar Solicitud,13,669,2016-04-17T18:46:26.000,2016-04-17T18:35:29.000,2016-04-17T16:58:29.000+00:00
Notificacion estudiante cancelacion soli,13,669,2016-04-19T15:57:52.000,2016-04-19T15:57:52.000,2016-04-17T18:46:26.000+00:00
Traer informacion estudiante - banner,14,24536,2016-04-17T16:59:59.000,2016-04-17T16:59:59.000,2016-04-17T16:59:59.000+00:00
Radicar Solicitud Homologacion,14,24536,2016-04-17T17:00:00.000,2016-04-17T17:00:00.000,2016-04-17T16:59:59.000+00:00
Cancelar Solicitud,14,294,2016-04-17T18:02:21.000,2016-04-17T17:05:36.000,2016-04-17T17:00:00.000+00:00
Notificacion estudiante cancelacion soli,14,294,2016-04-27T13:45:53.000,2016-04-27T13:45:53.000,2016-04-17T18:02:21.000+00:00
Traer informacion estudiante - banner,15,11706,2016-04-18T14:20:55.000,2016-04-18T14:20:55.000,2016-04-18T14:20:55.000+00:00
Radicar Solicitud Homologacion,15,11706,2016-04-18T14:21:10.000,2016-04-18T14:20:56.000,2016-04-18T14:20:55.000+00:00
Validar solicitud,15,22404,2016-04-18T14:42:58.000,2016-04-18T14:35:49.000,2016-04-18T14:21:10.000+00:00
Homologacion por grupo de cursos,15,22404,2016-04-19T15:48:31.000,2016-04-19T13:45:17.000,2016-04-18T14:42:58.000+00:00
Revisar curso,15,22404,2016-04-19T13:50:25.000,2016-04-19T13:45:17.000,2016-04-18T14:42:58.000+00:00
Evaluacion curso,15,22404,2016-04-19T22:52:22.000,2016-04-19T20:54:17.000,2016-04-19T13:50:25.000+00:00
Validar solicitud / pre-homologacion,15,22404,2016-05-11T17:22:19.000,2016-05-11T17:22:19.000,2016-04-19T22:52:22.000+00:00
Traer informacion estudiante - banner,16,11706,2016-04-18T13:12:50.000,2016-04-18T13:12:50.000,2016-04-18T13:12:50.000+00:00
Homologacion por grupo de cursos,17,1343,2016-04-18T19:00:33.000,2016-04-18T15:56:19.000,2016-04-18T15:56:19.000+00:00
Validacion final,17,22475,2016-04-18T15:56:19.000,2016-04-18T15:56:19.000,2016-04-18T15:08:06.000+00:00
Visto Bueno Cierre Proceso,17,1343,2016-04-18T19:00:43.000,2016-04-18T15:56:29.000,2016-04-18T15:56:19.000+00:00
Notificacion estudiante cancelacion soli,18,19019,2016-04-18T18:11:53.000,2016-04-18T18:11:53.000,2016-04-18T18:11:53.000+00:00
Traer informacion estudiante - banner,18,9404,2016-04-18T19:56:16.000,2016-04-18T19:56:16.000,2016-04-18T18:11:53.000+00:00
Radicar Solicitud Homologacion,18,9404,2016-04-18T19:56:21.000,2016-04-18T19:56:18.000,2016-04-18T19:56:16.000+00:00
Cancelar Solicitud,18,19019,2016-04-18T19:59:28.000,2016-04-18T19:59:28.000,2016-04-18T19:56:21.000+00:00
Traer informacion estudiante - banner,19,3747,2016-04-18T22:24:53.000,2016-04-18T22:24:53.000,2016-04-18T22:24:53.000+00:00
Radicar Solicitud Homologacion,19,3747,2016-04-18T22:25:02.000,2016-04-18T22:24:54.000,2016-04-18T22:24:53.000+00:00
Validar solicitud,19,677,2016-04-18T23:17:35.000,2016-04-18T22:33:41.000,2016-04-18T22:25:02.000+00:00
Homologacion por grupo de cursos,19,3445,2016-04-26T18:28:09.000,2016-04-26T16:28:29.000,2016-04-18T23:17:35.000+00:00
Revisar curso,19,677,2016-04-26T16:28:29.000,2016-04-26T16:28:29.000,2016-04-18T23:17:35.000+00:00
Evaluacion curso,19,677,2016-04-26T18:20:35.000,2016-04-26T16:29:27.000,2016-04-26T16:28:29.000+00:00
Validacion final,19,677,2016-05-17T15:37:28.000,2016-05-17T15:37:28.000,2016-04-26T18:28:09.000+00:00
Visto Bueno Cierre Proceso,19,3445,2016-05-17T15:46:54.000,2016-05-17T15:38:24.000,2016-05-17T15:37:28.000+00:00
Transferir Creditos,19,3445,2016-05-18T16:09:06.000,2016-05-18T16:09:06.000,2016-05-17T15:46:54.000+00:00
Transferir creditos homologables,19,3445,2016-05-18T16:09:07.000,2016-05-18T16:09:07.000,2016-05-18T16:09:06.000+00:00
Transferir creditos homologables,19,3445,2016-05-18T16:09:07.000,2016-05-18T16:09:07.000,2016-05-18T16:09:06.000+00:00
Transferir creditos homologables,19,3445,2016-05-18T16:09:07.000,2016-05-18T16:09:07.000,2016-05-18T16:09:06.000+00:00
Traer informacion estudiante - banner,20,7144,2016-04-18T20:18:27.000,2016-04-18T20:18:27.000,2016-04-18T20:18:27.000+00:00
Radicar Solicitud Homologacion,20,7144,2016-04-18T20:18:36.000,2016-04-18T20:18:31.000,2016-04-18T20:18:27.000+00:00
Cancelar Solicitud,20,19019,2016-04-18T20:30:21.000,2016-04-18T20:23:45.000,2016-04-18T20:18:36.000+00:00
Notificacion estudiante cancelacion soli,20,19019,2016-04-19T18:31:30.000,2016-04-19T18:31:30.000,2016-04-18T20:30:21.000+00:00
Traer informacion estudiante - banner,21,8532,2016-04-18T21:40:11.000,2016-04-18T21:40:11.000,2016-04-18T21:40:11.000+00:00
Radicar Solicitud Homologacion,21,8532,2016-04-18T21:57:36.000,2016-04-18T21:40:17.000,2016-04-18T21:40:11.000+00:00
Validar solicitud,21,1707,2016-04-21T12:53:15.000,2016-04-21T12:25:38.000,2016-04-18T21:57:36.000+00:00
Homologacion por grupo de cursos,21,15930,2016-04-26T20:26:06.000,2016-04-26T16:37:44.000,2016-04-21T12:53:15.000+00:00
Revisar curso,21,1707,2016-04-26T17:07:05.000,2016-04-26T16:37:44.000,2016-04-21T12:53:15.000+00:00
Evaluacion curso,21,1707,2016-05-02T17:02:16.000,2016-05-02T13:58:46.000,2016-04-26T17:07:05.000+00:00
Validacion final,21,1707,2016-06-07T13:28:50.000,2016-06-07T13:28:49.000,2016-05-02T17:02:16.000+00:00
Visto Bueno Cierre Proceso,21,15930,2016-06-07T13:45:24.000,2016-06-07T13:29:54.000,2016-06-07T13:28:50.000+00:00
Traer informacion estudiante - banner,22,4032,2016-04-19T00:30:37.000,2016-04-19T00:30:37.000,2016-04-19T00:30:37.000+00:00
Radicar Solicitud Homologacion,22,4032,2016-04-19T05:22:41.000,2016-04-19T00:30:41.000,2016-04-19T00:30:37.000+00:00
Validar solicitud,22,29277,2016-06-13T17:02:18.000,2016-06-13T17:02:18.000,2016-04-19T05:22:41.000+00:00
Homologacion por grupo de cursos,22,1007,2016-06-13T17:27:50.000,2016-06-13T17:03:50.000,2016-06-13T17:02:18.000+00:00
Traer informacion estudiante - banner,23,4126,2016-04-19T12:13:19.000,2016-04-19T12:13:19.000,2016-04-19T12:13:19.000+00:00
Radicar Solicitud Homologacion,23,4126,2016-04-19T12:13:20.000,2016-04-19T12:13:20.000,2016-04-19T12:13:19.000+00:00
Validar solicitud,23,19019,2016-04-19T12:25:07.000,2016-04-19T12:21:07.000,2016-04-19T12:13:20.000+00:00
Homologacion por grupo de cursos,23,1007,2016-04-19T18:35:19.000,2016-04-19T18:33:08.000,2016-04-19T12:25:07.000+00:00
Revisar curso,23,19019,2016-04-19T18:33:08.000,2016-04-19T18:33:08.000,2016-04-19T12:25:07.000+00:00
Evaluacion curso,23,19019,2016-04-19T18:42:13.000,2016-04-19T18:42:13.000,2016-04-19T18:33:08.000+00:00
Validacion final,23,19019,2016-04-19T18:54:17.000,2016-04-19T18:54:17.000,2016-04-19T18:42:13.000+00:00
Visto Bueno Cierre Proceso,23,1007,2016-04-19T18:58:14.000,2016-04-19T18:56:03.000,2016-04-19T18:54:17.000+00:00
Traer informacion estudiante - banner,24,4126,2016-04-19T12:22:13.000,2016-04-19T12:22:13.000,2016-04-19T12:22:13.000+00:00
Radicar Solicitud Homologacion,24,4126,2016-04-19T12:22:14.000,2016-04-19T12:22:14.000,2016-04-19T12:22:13.000+00:00
Validar solicitud,24,19019,2016-04-19T12:35:51.000,2016-04-19T12:31:51.000,2016-04-19T12:22:14.000+00:00
Homologacion por grupo de cursos,24,1007,2016-04-19T20:58:28.000,2016-04-19T18:44:00.000,2016-04-19T12:35:51.000+00:00
Revisar curso,24,19019,2016-04-19T18:44:00.000,2016-04-19T18:44:00.000,2016-04-19T12:35:51.000+00:00
Evaluacion curso,24,4067,2016-04-19T18:58:08.000,2016-04-19T18:44:45.000,2016-04-19T18:44:00.000+00:00
Visto Bueno Cierre Proceso,24,1007,2016-04-21T14:33:05.000,2016-04-21T12:30:37.000,2016-04-19T20:58:28.000+00:00
Validacion final,24,19019,2016-04-21T14:23:37.000,2016-04-21T14:23:37.000,2016-04-19T20:58:28.000+00:00
Cancelar Solicitud,25,677,2016-04-19T12:05:48.000,2016-04-19T11:57:48.000,2016-04-19T11:57:48.000+00:00
Traer informacion estudiante - banner,25,2981,2016-04-19T13:27:51.000,2016-04-19T13:27:51.000,2016-04-19T12:05:48.000+00:00
Radicar Solicitud Homologacion,25,2981,2016-04-19T13:27:56.000,2016-04-19T13:27:56.000,2016-04-19T13:27:51.000+00:00
Notificacion estudiante cancelacion soli,25,677,2016-04-20T12:16:10.000,2016-04-20T12:16:10.000,2016-04-19T13:27:56.000+00:00
Traer informacion estudiante - banner,26,19214,2016-04-19T18:44:45.000,2016-04-19T18:44:45.000,2016-04-19T18:44:45.000+00:00
Radicar Solicitud Homologacion,26,19214,2016-04-19T20:12:53.000,2016-04-19T18:44:53.000,2016-04-19T18:44:45.000+00:00
Validar solicitud,26,448,2016-05-04T19:23:36.000,2016-05-04T18:55:29.000,2016-04-19T20:12:53.000+00:00
Homologacion por grupo de cursos,26,7177,2016-05-11T15:06:08.000,2016-05-11T13:07:05.000,2016-05-04T19:23:36.000+00:00
Traer informacion estudiante - banner,27,11861,2016-04-19T19:29:09.000,2016-04-19T19:29:09.000,2016-04-19T19:29:09.000+00:00
Radicar Solicitud Homologacion,27,11861,2016-04-19T19:29:26.000,2016-04-19T19:29:13.000,2016-04-19T19:29:09.000+00:00
Cancelar Solicitud,27,22475,2016-04-19T19:43:00.000,2016-04-19T19:42:16.000,2016-04-19T19:29:26.000+00:00
Notificacion estudiante cancelacion soli,27,22475,2016-04-19T20:26:35.000,2016-04-19T20:26:35.000,2016-04-19T19:43:00.000+00:00
Traer informacion estudiante - banner,28,22560,2016-04-19T21:06:15.000,2016-04-19T21:06:15.000,2016-04-19T21:06:15.000+00:00
Radicar Solicitud Homologacion,28,22560,2016-04-19T21:36:39.000,2016-04-19T21:06:18.000,2016-04-19T21:06:15.000+00:00
Validar solicitud,28,261,2016-04-25T20:15:59.000,2016-04-25T19:27:27.000,2016-04-19T21:36:39.000+00:00
Homologacion por grupo de cursos,28,308,2016-05-04T00:12:37.000,2016-05-03T19:59:47.000,2016-04-25T20:15:59.000+00:00
Traer informacion estudiante - banner,29,11611,2016-04-19T22:02:34.000,2016-04-19T22:02:34.000,2016-04-19T22:02:34.000+00:00
Radicar Solicitud Homologacion,29,11611,2016-04-19T22:02:49.000,2016-04-19T22:02:37.000,2016-04-19T22:02:34.000+00:00
Validar solicitud,29,1646,2016-04-19T22:34:20.000,2016-04-19T22:15:04.000,2016-04-19T22:02:49.000+00:00
Homologacion por grupo de cursos,29,1646,2016-04-22T18:21:29.000,2016-04-22T15:32:02.000,2016-04-19T22:34:20.000+00:00
Revisar curso,29,49,2016-04-22T15:36:38.000,2016-04-22T15:32:02.000,2016-04-19T22:34:20.000+00:00
Evaluacion curso,29,1646,2016-04-22T22:23:40.000,2016-04-22T22:08:45.000,2016-04-22T15:36:38.000+00:00
Validar solicitud / pre-homologacion,29,1646,2016-04-26T23:34:01.000,2016-04-26T21:04:06.000,2016-04-22T22:23:40.000+00:00
Radicar Solicitud Homologacion,30,19019,2016-04-19T18:13:24.000,2016-04-19T18:13:24.000,2016-04-19T18:13:24.000+00:00
Traer informacion estudiante - banner,31,1959,2016-04-20T08:48:23.000,2016-04-20T08:48:23.000,2016-04-20T08:48:23.000+00:00
Radicar Solicitud Homologacion,31,1959,2016-04-20T08:48:31.000,2016-04-20T08:48:31.000,2016-04-20T08:48:23.000+00:00
Cancelar Solicitud,31,677,2016-04-20T09:57:44.000,2016-04-20T09:53:44.000,2016-04-20T08:48:31.000+00:00
Notificacion estudiante cancelacion soli,31,677,2016-04-20T18:07:43.000,2016-04-20T18:07:43.000,2016-04-20T09:57:44.000+00:00
Traer informacion estudiante - banner,32,8223,2016-04-20T09:33:08.000,2016-04-20T09:33:08.000,2016-04-20T09:33:08.000+00:00
Radicar Solicitud Homologacion,32,8223,2016-04-20T09:33:14.000,2016-04-20T09:33:14.000,2016-04-20T09:33:08.000+00:00
Cancelar Solicitud,32,241,2016-04-20T10:06:21.000,2016-04-20T09:52:16.000,2016-04-20T09:33:14.000+00:00
Notificacion estudiante cancelacion soli,32,241,2016-04-21T21:05:18.000,2016-04-21T21:05:18.000,2016-04-20T10:06:21.000+00:00
Radicar Solicitud Homologacion,33,19019,2016-04-20T12:36:05.000,2016-04-20T12:36:05.000,2016-04-20T12:36:05.000+00:00
Traer informacion estudiante - banner,34,8365,2016-04-20T15:03:34.000,2016-04-20T15:03:34.000,2016-04-20T15:03:34.000+00:00
Radicar Solicitud Homologacion,34,8365,2016-04-20T15:13:05.000,2016-04-20T15:03:38.000,2016-04-20T15:03:34.000+00:00
Validar solicitud,34,1707,2016-04-21T16:55:33.000,2016-04-21T16:31:24.000,2016-04-20T15:13:05.000+00:00
Homologacion por grupo de cursos,34,15930,2016-04-26T18:21:18.000,2016-04-26T16:40:25.000,2016-04-21T16:55:33.000+00:00
Revisar curso,34,1707,2016-04-26T17:09:43.000,2016-04-26T16:40:25.000,2016-04-21T16:55:33.000+00:00
Evaluacion curso,34,15930,2016-05-02T14:37:58.000,2016-05-02T13:58:57.000,2016-04-26T17:09:43.000+00:00
Validacion final,34,1707,2016-05-09T23:19:52.000,2016-05-09T23:03:07.000,2016-05-02T14:37:58.000+00:00
Validacion final,35,18929,2016-06-02T15:03:37.000,2016-06-02T15:01:25.000,2016-04-22T02:21:45.000+00:00
Visto Bueno Cierre Proceso,35,957,2016-06-02T19:14:18.000,2016-06-02T19:14:06.000,2016-06-02T15:03:37.000+00:00
Traer informacion estudiante - banner,36,2506,2016-04-21T14:11:03.000,2016-04-21T14:11:03.000,2016-04-21T14:11:03.000+00:00
Radicar Solicitud Homologacion,36,2506,2016-04-21T14:11:07.000,2016-04-21T14:11:04.000,2016-04-21T14:11:03.000+00:00
Validar solicitud,36,1707,2016-04-21T14:41:28.000,2016-04-21T14:14:59.000,2016-04-21T14:11:07.000+00:00
Homologacion por grupo de cursos,36,15930,2016-04-26T18:24:59.000,2016-04-26T16:44:09.000,2016-04-21T14:41:28.000+00:00
Revisar curso,36,1707,2016-04-26T17:13:25.000,2016-04-26T16:44:10.000,2016-04-21T14:41:28.000+00:00
Evaluacion curso,36,15930,2016-05-02T14:38:10.000,2016-05-02T13:59:10.000,2016-04-26T17:13:25.000+00:00
Validacion final,36,1707,2016-05-09T23:21:38.000,2016-05-09T23:04:48.000,2016-05-02T14:38:10.000+00:00
Visto Bueno Cierre Proceso,36,15930,2016-05-12T14:06:03.000,2016-05-12T13:50:19.000,2016-05-09T23:21:38.000+00:00
Traer informacion estudiante - banner,37,1378,2016-04-21T16:34:19.000,2016-04-21T16:34:19.000,2016-04-21T16:34:19.000+00:00
Radicar Solicitud Homologacion,37,1378,2016-04-21T16:34:45.000,2016-04-21T16:34:22.000,2016-04-21T16:34:19.000+00:00
Cancelar Solicitud,37,1378,2016-04-21T16:57:58.000,2016-04-21T16:57:56.000,2016-04-21T16:34:45.000+00:00
Notificacion estudiante cancelacion soli,37,1378,2016-04-21T17:16:34.000,2016-04-21T17:16:34.000,2016-04-21T16:57:58.000+00:00
Traer informacion estudiante - banner,38,1378,2016-04-21T16:58:35.000,2016-04-21T16:58:35.000,2016-04-21T16:58:35.000+00:00
Radicar Solicitud Homologacion,38,1378,2016-04-21T16:58:36.000,2016-04-21T16:58:35.000,2016-04-21T16:58:35.000+00:00
Validar solicitud,38,677,2016-04-21T17:42:12.000,2016-04-21T17:29:18.000,2016-04-21T16:58:36.000+00:00
Homologacion por grupo de cursos,38,3445,2016-04-25T15:49:29.000,2016-04-25T13:54:49.000,2016-04-21T17:42:12.000+00:00
Revisar curso,38,677,2016-04-25T13:54:50.000,2016-04-25T13:54:50.000,2016-04-21T17:42:12.000+00:00
Evaluacion curso,38,7304,2016-04-25T15:34:20.000,2016-04-25T13:55:27.000,2016-04-25T13:54:50.000+00:00
Validacion final,38,677,2016-05-12T16:58:13.000,2016-05-12T16:49:08.000,2016-04-25T15:49:29.000+00:00
Visto Bueno Cierre Proceso,38,3445,2016-05-13T20:01:19.000,2016-05-13T19:54:39.000,2016-05-12T16:58:13.000+00:00
Traer informacion estudiante - banner,39,1378,2016-04-21T17:16:50.000,2016-04-21T17:16:50.000,2016-04-21T17:16:50.000+00:00
Radicar Solicitud Homologacion,39,1378,2016-04-21T17:16:51.000,2016-04-21T17:16:51.000,2016-04-21T17:16:50.000+00:00
Cancelar Solicitud,39,1378,2016-04-21T17:19:40.000,2016-04-21T17:19:40.000,2016-04-21T17:16:51.000+00:00
Notificacion estudiante cancelacion soli,39,1378,2016-04-21T17:26:30.000,2016-04-21T17:26:30.000,2016-04-21T17:19:40.000+00:00
Traer informacion estudiante - banner,40,1378,2016-04-21T17:19:53.000,2016-04-21T17:19:53.000,2016-04-21T17:19:53.000+00:00
Radicar Solicitud Homologacion,40,1378,2016-04-21T17:19:54.000,2016-04-21T17:19:54.000,2016-04-21T17:19:53.000+00:00
