activity,case_id,resource,end_time,start_time
Traer informacion estudiante - banner,110854,6723,2016-04-16T21:34:08.000,2016-04-16T21:34:08.000
Radicar Solicitud Homologacion,110854,6723,2016-04-16T21:34:10.000,2016-04-16T21:34:10.000
Cancelar Solicitud,110854,6723,2016-04-16T23:32:33.000,2016-04-16T21:38:01.000
Validar solicitud,110854,677,2016-04-16T21:38:58.000,2016-04-16T21:38:01.000
Revisar curso,110854,677,2016-04-18T13:57:09.000,2016-04-18T13:57:09.000
Notificacion estudiante cancelacion soli,110854,6723,2016-05-06T15:32:59.000,2016-05-06T15:32:59.000
Traer informacion estudiante - banner,110901,24536,2016-04-17T14:33:43.000,2016-04-17T14:33:43.000
Radicar Solicitud Homologacion,110901,24536,2016-04-17T14:33:50.000,2016-04-17T14:33:50.000
Cancelar Solicitud,110901,294,2016-04-17T17:50:24.000,2016-04-17T16:53:41.000
Notificacion estudiante cancelacion soli,110901,294,2016-04-27T13:43:53.000,2016-04-27T13:43:53.000
Traer informacion estudiante - banner,110951,24536,2016-04-17T16:54:12.000,2016-04-17T16:54:12.000
Radicar Solicitud Homologacion,110951,24536,2016-04-17T16:54:16.000,2016-04-17T16:54:16.000
Cancelar Solicitud,110951,294,2016-04-17T17:56:14.000,2016-04-17T16:59:29.000
Notificacion estudiante cancelacion soli,110951,294,2016-04-27T13:45:00.000,2016-04-27T13:45:00.000
Traer informacion estudiante - banner,110952,341,2016-04-17T16:58:28.000,2016-04-17T16:58:28.000
Radicar Solicitud Homologacion,110952,341,2016-04-17T16:58:29.000,2016-04-17T16:58:29.000
Cancelar Solicitud,110952,669,2016-04-17T18:46:26.000,2016-04-17T18:35:29.000
Notificacion estudiante cancelacion soli,110952,669,2016-04-19T15:57:52.000,2016-04-19T15:57:52.000
Traer informacion estudiante - banner,110953,24536,2016-04-17T16:59:59.000,2016-04-17T16:59:59.000
Radicar Solicitud Homologacion,110953,24536,2016-04-17T17:00:00.000,2016-04-17T17:00:00.000
Cancelar Solicitud,110953,294,2016-04-17T18:02:21.000,2016-04-17T17:05:36.000
Notificacion estudiante cancelacion soli,110953,294,2016-04-27T13:45:53.000,2016-04-27T13:45:53.000
Traer informacion estudiante - banner,111152,11706,2016-04-18T14:20:55.000,2016-04-18T14:20:55.000
Radicar Solicitud Homologacion,111152,11706,2016-04-18T14:21:10.000,2016-04-18T14:20:56.000
Validar solicitud,111152,22404,2016-04-18T14:42:58.000,2016-04-18T14:35:49.000
Homologacion por grupo de cursos,111152,22404,2016-04-19T15:48:31.000,2016-04-19T13:45:17.000
Revisar curso,111152,22404,2016-04-19T13:50:25.000,2016-04-19T13:45:17.000
Evaluacion curso,111152,22404,2016-04-19T22:52:22.000,2016-04-19T20:54:17.000
Validar solicitud / pre-homologacion,111152,22404,2016-05-11T17:22:19.000,2016-05-11T17:22:19.000
Traer informacion estudiante - banner,111202,11706,2016-04-18T13:12:50.000,2016-04-18T13:12:50.000
Homologacion por grupo de cursos,111209,1343,2016-04-18T19:00:33.000,2016-04-18T15:56:19.000
Validacion final,111209,22475,2016-04-18T15:56:19.000,2016-04-18T15:56:19.000
Visto Bueno Cierre Proceso,111209,1343,2016-04-18T19:00:43.000,2016-04-18T15:56:29.000
Notificacion estudiante cancelacion soli,111256,19019,2016-04-18T18:11:53.000,2016-04-18T18:11:53.000
Traer informacion estudiante - banner,111256,9404,2016-04-18T19:56:16.000,2016-04-18T19:56:16.000
Radicar Solicitud Homologacion,111256,9404,2016-04-18T19:56:21.000,2016-04-18T19:56:18.000
Cancelar Solicitud,111256,19019,2016-04-18T19:59:28.000,2016-04-18T19:59:28.000
Traer informacion estudiante - banner,111264,3747,2016-04-18T22:24:53.000,2016-04-18T22:24:53.000
Radicar Solicitud Homologacion,111264,3747,2016-04-18T22:25:02.000,2016-04-18T22:24:54.000
Validar solicitud,111264,677,2016-04-18T23:17:35.000,2016-04-18T22:33:41.000
Homologacion por grupo de cursos,111264,3445,2016-04-26T18:28:09.000,2016-04-26T16:28:29.000
Revisar curso,111264,677,2016-04-26T16:28:29.000,2016-04-26T16:28:29.000
Evaluacion curso,111264,677,2016-04-26T18:20:35.000,2016-04-26T16:29:27.000
Validacion final,111264,677,2016-05-17T15:37:28.000,2016-05-17T15:37:28.000
Visto Bueno Cierre Proceso,111264,3445,2016-05-17T15:46:54.000,2016-05-17T15:38:24.000
Transferir Creditos,111264,3445,2016-05-18T16:09:06.000,2016-05-18T16:09:06.000
Transferir creditos homologables,111264,3445,2016-05-18T16:09:07.000,2016-05-18T16:09:07.000
Transferir creditos homologables,111264,3445,2016-05-18T16:09:07.000,2016-05-18T16:09:07.000
Transferir creditos homologables,111264,3445,2016-05-18T16:09:07.000,2016-05-18T16:09:07.000
Traer informacion estudiante - banner,111314,7144,2016-04-18T20:18:27.000,2016-04-18T20:18:27.000
Radicar Solicitud Homologacion,111314,7144,2016-04-18T20:18:36.000,2016-04-18T20:18:31.000
Cancelar Solicitud,111314,19019,2016-04-18T20:30:21.000,2016-04-18T20:23:45.000
Notificacion estudiante cancelacion soli,111314,19019,2016-04-19T18:31:30.000,2016-04-19T18:31:30.000
Traer informacion estudiante - banner,111351,8532,2016-04-18T21:40:11.000,2016-04-18T21:40:11.000
Radicar Solicitud Homologacion,111351,8532,2016-04-18T21:57:36.000,2016-04-18T21:40:17.000
Validar solicitud,111351,1707,2016-04-21T12:53:15.000,2016-04-21T12:25:38.000
Homologacion por grupo de cursos,111351,15930,2016-04-26T20:26:06.000,2016-04-26T16:37:44.000
Revisar curso,111351,1707,2016-04-26T17:07:05.000,2016-04-26T16:37:44.000
Evaluacion curso,111351,1707,2016-05-02T17:02:16.000,2016-05-02T13:58:46.000
Validacion final,111351,1707,2016-06-07T13:28:50.000,2016-06-07T13:28:49.000
Visto Bueno Cierre Proceso,111351,15930,2016-06-07T13:45:24.000,2016-06-07T13:29:54.000
Traer informacion estudiante - banner,111401,4032,2016-04-19T00:30:37.000,2016-04-19T00:30:37.000
Radicar Solicitud Homologacion,111401,4032,2016-04-19T05:22:41.000,2016-04-19T00:30:41.000
Validar solicitud,111401,29277,2016-06-13T17:02:18.000,2016-06-13T17:02:18.000
Homologacion por grupo de cursos,111401,1007,2016-06-13T17:27:50.000,2016-06-13T17:03:50.000
Traer informacion estudiante - banner,111453,4126,2016-04-19T12:13:19.000,2016-04-19T12:13:19.000
Radicar Solicitud Homologacion,111453,4126,2016-04-19T12:13:20.000,2016-04-19T12:13:20.000
Validar solicitud,111453,19019,2016-04-19T12:25:07.000,2016-04-19T12:21:07.000
Homologacion por grupo de cursos,111453,1007,2016-04-19T18:35:19.000,2016-04-19T18:33:08.000
Revisar curso,111453,19019,2016-04-19T18:33:08.000,2016-04-19T18:33:08.000
Evaluacion curso,111453,19019,2016-04-19T18:42:13.000,2016-04-19T18:42:13.000
Validacion final,111453,19019,2016-04-19T18:54:17.000,2016-04-19T18:54:17.000
Visto Bueno Cierre Proceso,111453,1007,2016-04-19T18:58:14.000,2016-04-19T18:56:03.000
Traer informacion estudiante - banner,111454,4126,2016-04-19T12:22:13.000,2016-04-19T12:22:13.000
Radicar Solicitud Homologacion,111454,4126,2016-04-19T12:22:14.000,2016-04-19T12:22:14.000
Validar solicitud,111454,19019,2016-04-19T12:35:51.000,2016-04-19T12:31:51.000
Homologacion por grupo de cursos,111454,1007,2016-04-19T20:58:28.000,2016-04-19T18:44:00.000
Revisar curso,111454,19019,2016-04-19T18:44:00.000,2016-04-19T18:44:00.000
Evaluacion curso,111454,4067,2016-04-19T18:58:08.000,2016-04-19T18:44:45.000
Visto Bueno Cierre Proceso,111454,1007,2016-04-21T14:33:05.000,2016-04-21T12:30:37.000
Validacion final,111454,19019,2016-04-21T14:23:37.000,2016-04-21T14:23:37.000
Cancelar Solicitud,111501,677,2016-04-19T12:05:48.000,2016-04-19T11:57:48.000
Traer informacion estudiante - banner,111501,2981,2016-04-19T13:27:51.000,2016-04-19T13:27:51.000
Radicar Solicitud Homologacion,111501,2981,2016-04-19T13:27:56.000,2016-04-19T13:27:56.000
Notificacion estudiante cancelacion soli,111501,677,2016-04-20T12:16:10.000,2016-04-20T12:16:10.000
Traer informacion estudiante - banner,111551,19214,2016-04-19T18:44:45.000,2016-04-19T18:44:45.000
Radicar Solicitud Homologacion,111551,19214,2016-04-19T20:12:53.000,2016-04-19T18:44:53.000
Validar solicitud,111551,448,2016-05-04T19:23:36.000,2016-05-04T18:55:29.000
Homologacion por grupo de cursos,111551,7177,2016-05-11T15:06:08.000,2016-05-11T13:07:05.000
Traer informacion estudiante - banner,111651,11861,2016-04-19T19:29:09.000,2016-04-19T19:29:09.000
Radicar Solicitud Homologacion,111651,11861,2016-04-19T19:29:26.000,2016-04-19T19:29:13.000
Cancelar Solicitud,111651,22475,2016-04-19T19:43:00.000,2016-04-19T19:42:16.000
Notificacion estudiante cancelacion soli,111651,22475,2016-04-19T20:26:35.000,2016-04-19T20:26:35.000
Traer informacion estudiante - banner,111654,22560,2016-04-19T21:06:15.000,2016-04-19T21:06:15.000
Radicar Solicitud Homologacion,111654,22560,2016-04-19T21:36:39.000,2016-04-19T21:06:18.000
Validar solicitud,111654,261,2016-04-25T20:15:59.000,2016-04-25T19:27:27.000
Homologacion por grupo de cursos,111654,308,2016-05-04T00:12:37.000,2016-05-03T19:59:47.000
Traer informacion estudiante - banner,111655,11611,2016-04-19T22:02:34.000,2016-04-19T22:02:34.000
Radicar Solicitud Homologacion,111655,11611,2016-04-19T22:02:49.000,2016-04-19T22:02:37.000
Validar solicitud,111655,1646,2016-04-19T22:34:20.000,2016-04-19T22:15:04.000
Homologacion por grupo de cursos,111655,1646,2016-04-22T18:21:29.000,2016-04-22T15:32:02.000
Revisar curso,111655,49,2016-04-22T15:36:38.000,2016-04-22T15:32:02.000
Evaluacion curso,111655,1646,2016-04-22T22:23:40.000,2016-04-22T22:08:45.000
Validar solicitud / pre-homologacion,111655,1646,2016-04-26T23:34:01.000,2016-04-26T21:04:06.000
Radicar Solicitud Homologacion,111702,19019,2016-04-19T18:13:24.000,2016-04-19T18:13:24.000
Traer informacion estudiante - banner,111751,1959,2016-04-20T08:48:23.000,2016-04-20T08:48:23.000
Radicar Solicitud Homologacion,111751,1959,2016-04-20T08:48:31.000,2016-04-20T08:48:31.000
Cancelar Solicitud,111751,677,2016-04-20T09:57:44.000,2016-04-20T09:53:44.000
Notificacion estudiante cancelacion soli,111751,677,2016-04-20T18:07:43.000,2016-04-20T18:07:43.000
Traer informacion estudiante - banner,111801,8223,2016-04-20T09:33:08.000,2016-04-20T09:33:08.000
Radicar Solicitud Homologacion,111801,8223,2016-04-20T09:33:14.000,2016-04-20T09:33:14.000
Cancelar Solicitud,111801,241,2016-04-20T10:06:21.000,2016-04-20T09:52:16.000
Notificacion estudiante cancelacion soli,111801,241,2016-04-21T21:05:18.000,2016-04-21T21:05:18.000
Radicar Solicitud Homologacion,111853,19019,2016-04-20T12:36:05.000,2016-04-20T12:36:05.000
Traer informacion estudiante - banner,111951,8365,2016-04-20T15:03:34.000,2016-04-20T15:03:34.000
Radicar Solicitud Homologacion,111951,8365,2016-04-20T15:13:05.000,2016-04-20T15:03:38.000
Validar solicitud,111951,1707,2016-04-21T16:55:33.000,2016-04-21T16:31:24.000
Homologacion por grupo de cursos,111951,15930,2016-04-26T18:21:18.000,2016-04-26T16:40:25.000
Revisar curso,111951,1707,2016-04-26T17:09:43.000,2016-04-26T16:40:25.000
Evaluacion curso,111951,15930,2016-05-02T14:37:58.000,2016-05-02T13:58:57.000
Validacion final,111951,1707,2016-05-09T23:19:52.000,2016-05-09T23:03:07.000
Validacion final,112301,18929,2016-06-02T15:03:37.000,2016-06-02T15:01:25.000
Visto Bueno Cierre Proceso,112301,957,2016-06-02T19:14:18.000,2016-06-02T19:14:06.000
Traer informacion estudiante - banner,112303,2506,2016-04-21T14:11:03.000,2016-04-21T14:11:03.000
Radicar Solicitud Homologacion,112303,2506,2016-04-21T14:11:07.000,2016-04-21T14:11:04.000
Validar solicitud,112303,1707,2016-04-21T14:41:28.000,2016-04-21T14:14:59.000
Homologacion por grupo de cursos,112303,15930,2016-04-26T18:24:59.000,2016-04-26T16:44:09.000
Revisar curso,112303,1707,2016-04-26T17:13:25.000,2016-04-26T16:44:10.000
Evaluacion curso,112303,15930,2016-05-02T14:38:10.000,2016-05-02T13:59:10.000
Validacion final,112303,1707,2016-05-09T23:21:38.000,2016-05-09T23:04:48.000
Visto Bueno Cierre Proceso,112303,15930,2016-05-12T14:06:03.000,2016-05-12T13:50:19.000
Traer informacion estudiante - banner,112305,1378,2016-04-21T16:34:19.000,2016-04-21T16:34:19.000
Radicar Solicitud Homologacion,112305,1378,2016-04-21T16:34:45.000,2016-04-21T16:34:22.000
Cancelar Solicitud,112305,1378,2016-04-21T16:57:58.000,2016-04-21T16:57:56.000
Notificacion estudiante cancelacion soli,112305,1378,2016-04-21T17:16:34.000,2016-04-21T17:16:34.000
Traer informacion estudiante - banner,112307,1378,2016-04-21T16:58:35.000,2016-04-21T16:58:35.000
Radicar Solicitud Homologacion,112307,1378,2016-04-21T16:58:36.000,2016-04-21T16:58:35.000
Validar solicitud,112307,677,2016-04-21T17:42:12.000,2016-04-21T17:29:18.000
Homologacion por grupo de cursos,112307,3445,2016-04-25T15:49:29.000,2016-04-25T13:54:49.000
Revisar curso,112307,677,2016-04-25T13:54:50.000,2016-04-25T13:54:50.000
Evaluacion curso,112307,7304,2016-04-25T15:34:20.000,2016-04-25T13:55:27.000
Validacion final,112307,677,2016-05-12T16:58:13.000,2016-05-12T16:49:08.000
Visto Bueno Cierre Proceso,112307,3445,2016-05-13T20:01:19.000,2016-05-13T19:54:39.000
Traer informacion estudiante - banner,112308,1378,2016-04-21T17:16:50.000,2016-04-21T17:16:50.000
Radicar Solicitud Homologacion,112308,1378,2016-04-21T17:16:51.000,2016-04-21T17:16:51.000
Cancelar Solicitud,112308,1378,2016-04-21T17:19:40.000,2016-04-21T17:19:40.000
Notificacion estudiante cancelacion soli,112308,1378,2016-04-21T17:26:30.000,2016-04-21T17:26:30.000
Traer informacion estudiante - banner,112309,1378,2016-04-21T17:19:53.000,2016-04-21T17:19:53.000
Radicar Solicitud Homologacion,112309,1378,2016-04-21T17:19:54.000,2016-04-21T17:19:54.000
Validar solicitud,112309,677,2016-04-21T17:48:47.000,2016-04-21T17:25:08.000
Homologacion por grupo de cursos,112309,3445,2016-04-26T19:34:43.000,2016-04-26T16:39:17.000
Revisar curso,112309,677,2016-04-26T16:39:17.000,2016-04-26T16:39:17.000
Evaluacion curso,112309,22491,2016-04-26T19:20:01.000,2016-04-26T16:39:41.000
Validacion final,112309,677,2016-05-25T18:57:34.000,2016-05-25T18:51:00.000
Visto Bueno Cierre Proceso,112309,3445,2016-05-26T15:42:49.000,2016-05-26T15:34:18.000
Traer informacion estudiante - banner,112310,1378,2016-04-21T17:26:36.000,2016-04-21T17:26:36.000
Radicar Solicitud Homologacion,112310,1378,2016-04-21T17:26:37.000,2016-04-21T17:26:37.000
Validar solicitud,112310,677,2016-04-21T17:52:02.000,2016-04-21T17:28:22.000
Homologacion por grupo de cursos,112310,3445,2016-04-26T17:25:19.000,2016-04-26T16:40:22.000
Revisar curso,112310,677,2016-04-26T16:40:22.000,2016-04-26T16:40:22.000
Evaluacion curso,112310,6995,2016-04-26T16:41:24.000,2016-04-26T16:40:44.000
Validacion final,112310,677,2016-04-26T19:49:04.000,2016-04-26T19:21:26.000
Visto Bueno Cierre Proceso,112310,3445,2016-05-02T12:36:35.000,2016-05-02T12:19:57.000
Traer informacion estudiante - banner,112311,1378,2016-04-21T17:29:24.000,2016-04-21T17:29:24.000
Radicar Solicitud Homologacion,112311,1378,2016-04-21T17:29:25.000,2016-04-21T17:29:25.000
Validar solicitud,112311,19019,2016-04-21T17:38:01.000,2016-04-21T17:38:01.000
Homologacion por grupo de cursos,112311,1007,2016-04-21T19:42:01.000,2016-04-21T17:43:33.000
Revisar curso,112311,19019,2016-04-21T17:43:33.000,2016-04-21T17:43:33.000
Evaluacion curso,112311,4067,2016-04-21T18:36:29.000,2016-04-21T17:44:29.000
Validacion final,112311,19019,2016-04-30T01:44:28.000,2016-04-30T01:33:00.000
Visto Bueno Cierre Proceso,112311,1007,2016-05-03T17:23:21.000,2016-05-03T16:28:21.000
Traer informacion estudiante - banner,112312,1378,2016-04-21T17:44:34.000,2016-04-21T17:44:34.000
Radicar Solicitud Homologacion,112312,1378,2016-04-21T17:44:35.000,2016-04-21T17:44:35.000
Validar solicitud,112312,19019,2016-04-21T18:00:28.000,2016-04-21T17:50:49.000
Homologacion por grupo de cursos,112312,1007,2016-04-22T22:28:12.000,2016-04-22T20:39:23.000
Revisar curso,112312,19019,2016-04-22T20:39:24.000,2016-04-22T20:39:24.000
Evaluacion curso,112312,163,2016-04-22T21:39:53.000,2016-04-22T20:39:47.000
Validacion final,112312,19019,2016-05-04T14:54:10.000,2016-05-04T14:45:57.000
Visto Bueno Cierre Proceso,112312,1007,2016-05-05T15:39:44.000,2016-05-05T14:59:14.000
Traer informacion estudiante - banner,112351,19422,2016-04-21T12:25:43.000,2016-04-21T12:25:43.000
Radicar Solicitud Homologacion,112351,19422,2016-04-21T12:42:58.000,2016-04-21T12:25:46.000
Validar solicitud,112351,659,2016-04-25T14:15:02.000,2016-04-25T14:12:52.000
Homologacion por grupo de cursos,112351,1422,2016-04-25T16:31:52.000,2016-04-25T16:23:28.000
Revisar curso,112351,659,2016-04-25T16:23:29.000,2016-04-25T16:23:29.000
Evaluacion curso,112351,659,2016-04-25T16:28:29.000,2016-04-25T16:23:53.000
Validacion final,112351,659,2016-04-26T12:20:10.000,2016-04-26T12:20:10.000
Visto Bueno Cierre Proceso,112351,1422,2016-04-26T12:24:32.000,2016-04-26T12:20:45.000
Traer informacion estudiante - banner,112354,22829,2016-04-21T13:06:01.000,2016-04-21T13:06:01.000
Radicar Solicitud Homologacion,112354,22829,2016-04-21T13:06:04.000,2016-04-21T13:06:02.000
Validar solicitud,112354,22475,2016-04-21T13:11:30.000,2016-04-21T13:09:02.000
Revisar curso,112354,26757,2016-04-21T15:38:20.000,2016-04-21T15:37:32.000
Homologacion por grupo de cursos,112354,1343,2016-04-21T18:18:05.000,2016-04-21T15:37:32.000
Evaluacion curso,112354,26757,2016-04-21T16:26:17.000,2016-04-21T16:26:16.000
Validacion final,112354,22475,2016-04-21T16:27:49.000,2016-04-21T16:27:26.000
Visto Bueno Cierre Proceso,112354,1343,2016-04-21T19:29:52.000,2016-04-21T16:50:32.000
Transferir Creditos,112354,1343,2016-05-20T16:10:57.000,2016-05-20T16:10:57.000
Transferir creditos homologables,112354,1343,2016-05-20T16:10:57.000,2016-05-20T16:10:57.000
Traer informacion estudiante - banner,112357,2506,2016-04-21T13:37:06.000,2016-04-21T13:37:06.000
Radicar Solicitud Homologacion,112357,2506,2016-04-21T13:37:16.000,2016-04-21T13:37:07.000
Validar solicitud,112357,1707,2016-04-21T14:13:17.000,2016-04-21T13:46:16.000
Homologacion por grupo de cursos,112357,15930,2016-04-26T20:35:31.000,2016-04-26T16:47:19.000
Revisar curso,112357,1707,2016-04-26T17:16:32.000,2016-04-26T16:47:20.000
Evaluacion curso,112357,7010,2016-05-02T16:55:14.000,2016-05-02T13:59:21.000
Validacion final,112357,1707,2016-06-03T14:00:03.000,2016-06-03T13:52:24.000
Visto Bueno Cierre Proceso,112357,15930,2016-06-07T13:47:32.000,2016-06-07T13:32:05.000
Traer informacion estudiante - banner,112360,2506,2016-04-21T13:53:19.000,2016-04-21T13:53:19.000
Radicar Solicitud Homologacion,112360,2506,2016-04-21T13:53:35.000,2016-04-21T13:53:22.000
Cancelar Solicitud,112360,2506,2016-04-21T15:06:04.000,2016-04-21T14:07:12.000
Notificacion estudiante cancelacion soli,112360,2506,2016-05-02T17:25:57.000,2016-05-02T17:25:57.000
Traer informacion estudiante - banner,112361,2506,2016-04-21T14:10:39.000,2016-04-21T14:10:39.000
Radicar Solicitud Homologacion,112361,2506,2016-04-21T14:10:42.000,2016-04-21T14:10:40.000
Validar solicitud,112361,1707,2016-04-21T14:40:04.000,2016-04-21T14:13:30.000
Homologacion por grupo de cursos,112361,15930,2016-04-26T20:36:38.000,2016-04-26T16:48:27.000
Revisar curso,112361,1707,2016-04-26T17:17:38.000,2016-04-26T16:48:27.000
Evaluacion curso,112361,7010,2016-05-02T16:55:36.000,2016-05-02T13:59:40.000
Validacion final,112361,1707,2016-06-03T14:04:08.000,2016-06-03T13:56:34.000
Transferir Creditos,112401,3445,2016-06-08T20:12:44.000,2016-06-08T20:12:44.000
Transferir creditos homologables,112401,3445,2016-06-08T20:12:45.000,2016-06-08T20:12:45.000
Transferir creditos homologables,112401,3445,2016-06-08T20:12:45.000,2016-06-08T20:12:45.000
Traer informacion estudiante - banner,112451,15356,2016-04-21T20:59:55.000,2016-04-21T20:59:55.000
Radicar Solicitud Homologacion,112451,15356,2016-04-21T21:00:18.000,2016-04-21T21:00:02.000
Validar solicitud,112451,18929,2016-04-21T23:30:13.000,2016-04-21T21:16:30.000
Homologacion por grupo de cursos,112451,18929,2016-05-17T18:55:15.000,2016-05-17T18:55:15.000
Traer informacion estudiante - banner,112501,11568,2016-04-21T19:00:24.000,2016-04-21T19:00:24.000
Radicar Solicitud Homologacion,112501,11568,2016-04-21T19:00:53.000,2016-04-21T19:00:26.000
Validar solicitud,112501,7320,2016-04-21T19:39:10.000,2016-04-21T19:27:38.000
Recepcion de documentos,112501,26789,2016-04-24T19:36:28.000,2016-04-24T15:43:32.000
Homologacion por grupo de cursos,112501,6952,2016-04-24T20:52:30.000,2016-04-24T15:43:33.000
Revisar curso,112501,7297,2016-04-24T15:46:27.000,2016-04-24T15:43:34.000
Revisar curso,112501,7320,2016-04-24T16:02:08.000,2016-04-24T15:43:34.000
