CaseId,Activity,enabled_time,StartTime,EndTime,Resource
1,Prepare home insurance quote,2025-02-17 11:56:28.700049+02:00,2025-02-17 11:56:28.700049+02:00,2025-02-17 12:31:25.202228+02:00,Clerk_8
12,Check application form completeness,2025-02-17 12:00:00.646000+02:00,2025-02-17 12:00:00.646000+02:00,2025-02-17 12:30:37.258588+02:00,Clerk_0
8,Assess loan risk,2025-02-17 12:01:41.081486+02:00,2025-02-17 12:01:41.081486+02:00,2025-02-17 12:33:14.563459+02:00,Loan Officer_8
10,Return application back to applicant,2025-02-17 12:01:47.599984+02:00,2025-02-17 12:01:47.599984+02:00,2025-02-17 12:32:28.280459+02:00,Clerk_1
13,Check application form completeness,2025-02-17 12:15:00.646000+02:00,2025-02-17 12:15:00.646000+02:00,2025-02-17 12:45:21.369004+02:00,Clerk_3
11,Return application back to applicant,2025-02-17 12:15:07.482120+02:00,2025-02-17 12:15:07.482120+02:00,2025-02-17 12:46:08.736810+02:00,Clerk_2
9,Assess loan risk,2025-02-17 12:21:00.973064+02:00,2025-02-17 12:21:00.973064+02:00,2025-02-17 12:51:52.455063+02:00,Loan Officer_0
7,Reject application,2025-02-17 12:23:48.139589+02:00,2025-02-17 12:23:48.139589+02:00,2025-02-17 12:54:47.398566+02:00,Clerk_4
1,Approve and send acceptance pack,2025-02-17 12:28:24.742229+02:00,2025-02-17 12:28:24.742229+02:00,2025-02-17 13:01:38.995898+02:00,Loan Officer_1
14,Check application form completeness,2025-02-17 12:30:00.646000+02:00,2025-02-17 12:30:00.646000+02:00,2025-02-17 13:00:15.478157+02:00,Clerk_5
12,AML Check,2025-02-17 12:30:37.258588+02:00,2025-02-17 12:30:37.258588+02:00,2025-02-17 13:02:21.692954+02:00,AML Investigator_0
12,Appraise property,2025-02-17 12:30:37.258588+02:00,2025-02-17 12:30:37.258588+02:00,2025-02-17 13:02:24.726193+02:00,Appraiser_0
12,Check credit history,2025-02-17 12:30:37.258588+02:00,2025-02-17 12:30:37.258588+02:00,2025-02-17 13:02:26.537244+02:00,Clerk_7
1,Approve and post home insurance quote,2025-02-17 12:31:25.202228+02:00,2025-02-17 12:31:25.202228+02:00,2025-02-17 13:01:32.223331+02:00,Loan Officer_2
10,Applicant completes form,2025-02-17 12:32:28.280459+02:00,2025-02-17 12:32:28.280459+02:00,2025-02-18 12:33:28.280459+02:00,Applicant_2
8,Reject application,2025-02-17 12:33:14.563459+02:00,2025-02-17 12:33:14.563459+02:00,2025-02-17 13:03:27.547471+02:00,Clerk_6
15,Check application form completeness,2025-02-17 12:45:00.646000+02:00,2025-02-17 12:45:00.646000+02:00,2025-02-17 13:15:15.748798+02:00,Clerk_0
13,Return application back to applicant,2025-02-17 12:45:21.369004+02:00,2025-02-17 12:45:21.369004+02:00,2025-02-17 13:15:41.521498+02:00,Clerk_8
11,Applicant completes form,2025-02-17 12:46:08.736810+02:00,2025-02-17 12:46:08.736810+02:00,2025-02-18 12:47:08.736810+02:00,Applicant_3
9,Design loan offer,2025-02-17 12:51:52.455063+02:00,2025-02-17 12:51:52.455063+02:00,2025-02-17 13:22:25.934115+02:00,Loan Officer_3
16,Check application form completeness,2025-02-17 13:00:00.646000+02:00,2025-02-17 13:00:00.646000+02:00,2025-02-17 13:30:10.296792+02:00,Clerk_1
14,Check credit history,2025-02-17 13:00:15.478157+02:00,2025-02-17 13:00:15.478157+02:00,2025-02-17 13:33:23.937630+02:00,Clerk_3
14,Appraise property,2025-02-17 13:00:15.478157+02:00,2025-02-17 13:00:15.478157+02:00,2025-02-17 13:30:54.463826+02:00,Appraiser_1
14,AML Check,2025-02-17 13:00:15.478157+02:00,2025-02-17 13:00:15.478157+02:00,2025-02-17 13:30:41.381795+02:00,AML Investigator_1
1,Consider re-design loan offer,2025-02-17 13:01:38.995898+02:00,2025-02-17 13:01:38.995898+02:00,2025-02-17 13:32:46.148340+02:00,Senior Officer_1
12,Assess loan risk,2025-02-17 13:02:26.537244+02:00,2025-02-17 13:02:26.537244+02:00,2025-02-17 13:34:40.548519+02:00,Loan Officer_4
17,Check application form completeness,2025-02-17 13:15:00.646000+02:00,2025-02-17 13:15:00.646000+02:00,2025-02-17 13:46:06.408836+02:00,Clerk_2
15,Return application back to applicant,2025-02-17 13:15:15.748798+02:00,2025-02-17 13:15:15.748798+02:00,2025-02-17 13:45:29.964122+02:00,Clerk_4
13,Applicant completes form,2025-02-17 13:15:41.521498+02:00,2025-02-17 13:15:41.521498+02:00,2025-02-18 13:16:41.521498+02:00,Applicant_4
9,Approve Loan Offer,2025-02-17 13:22:25.934115+02:00,2025-02-17 13:22:25.934115+02:00,2025-02-17 13:54:43.927334+02:00,Senior Officer_2
18,Check application form completeness,2025-02-17 13:30:00.646000+02:00,2025-02-17 13:30:00.646000+02:00,2025-02-17 14:01:30.719109+02:00,Clerk_5
16,Check credit history,2025-02-17 13:30:10.296792+02:00,2025-02-17 13:30:10.296792+02:00,2025-02-17 14:00:23.808030+02:00,Clerk_7
16,Appraise property,2025-02-17 13:30:10.296792+02:00,2025-02-17 13:30:10.296792+02:00,2025-02-17 14:01:06.906038+02:00,Appraiser_0
16,AML Check,2025-02-17 13:30:10.296792+02:00,2025-02-17 13:30:10.296792+02:00,2025-02-17 14:02:08.645229+02:00,AML Investigator_2
1,Cancel application,2025-02-17 13:32:46.148340+02:00,2025-02-17 13:32:46.148340+02:00,2025-02-17 14:03:26.226927+02:00,Clerk_6
14,Assess loan risk,2025-02-17 13:33:23.937630+02:00,2025-02-17 13:33:23.937630+02:00,2025-02-17 14:03:55.691604+02:00,Loan Officer_5
12,Reject application,2025-02-17 13:34:40.548519+02:00,2025-02-17 13:34:40.548519+02:00,2025-02-17 14:07:39.550540+02:00,Clerk_0
19,Check application form completeness,2025-02-17 13:45:00.646000+02:00,2025-02-17 13:45:00.646000+02:00,2025-02-17 14:15:04.576424+02:00,Clerk_8
15,Applicant completes form,2025-02-17 13:45:29.964122+02:00,2025-02-17 13:45:29.964122+02:00,2025-02-18 13:46:29.964122+02:00,Applicant_5
17,Return application back to applicant,2025-02-17 13:46:06.408836+02:00,2025-02-17 13:46:06.408836+02:00,2025-02-17 14:16:53.430772+02:00,Clerk_1
9,Prepare home insurance quote,2025-02-17 13:54:43.927334+02:00,2025-02-17 13:54:43.927334+02:00,2025-02-17 14:25:46.265756+02:00,Clerk_3
9,Prepare acceptance pack,2025-02-17 13:54:43.927334+02:00,2025-02-17 13:54:43.927334+02:00,2025-02-17 14:25:45.345738+02:00,Loan Officer_6
20,Check application form completeness,2025-02-17 14:00:00.646000+02:00,2025-02-17 14:00:00.646000+02:00,2025-02-17 14:32:40.329535+02:00,Clerk_4
18,Appraise property,2025-02-17 14:01:30.719109+02:00,2025-02-17 14:01:30.719109+02:00,2025-02-17 14:32:13.768440+02:00,Appraiser_1
18,Check credit history,2025-02-17 14:01:30.719109+02:00,2025-02-17 14:01:30.719109+02:00,2025-02-17 14:31:45.279379+02:00,Clerk_2
18,AML Check,2025-02-17 14:01:30.719109+02:00,2025-02-17 14:01:30.719109+02:00,2025-02-17 14:31:37.726470+02:00,AML Investigator_3
16,Assess loan risk,2025-02-17 14:02:08.645229+02:00,2025-02-17 14:02:08.645229+02:00,2025-02-17 14:32:44.483095+02:00,Loan Officer_7
14,Design loan offer,2025-02-17 14:03:55.691604+02:00,2025-02-17 14:03:55.691604+02:00,2025-02-17 14:41:35.810539+02:00,Loan Officer_8
21,Check application form completeness,2025-02-17 14:15:00.646000+02:00,2025-02-17 14:15:00.646000+02:00,2025-02-17 14:46:45.997368+02:00,Clerk_7
19,AML Check,2025-02-17 14:15:04.576424+02:00,2025-02-17 14:15:04.576424+02:00,2025-02-17 14:45:19.392443+02:00,AML Investigator_0
19,Appraise property,2025-02-17 14:15:04.576424+02:00,2025-02-17 14:15:04.576424+02:00,2025-02-17 14:49:13.067276+02:00,Appraiser_0
19,Check credit history,2025-02-17 14:15:04.576424+02:00,2025-02-17 14:15:04.576424+02:00,2025-02-17 14:46:21.814247+02:00,Clerk_5
17,Applicant completes form,2025-02-17 14:16:53.430772+02:00,2025-02-17 14:16:53.430772+02:00,2025-02-18 14:17:53.430772+02:00,Applicant_6
9,Approve and send acceptance pack,2025-02-17 14:25:45.345738+02:00,2025-02-17 14:25:45.345738+02:00,2025-02-17 14:55:46.771915+02:00,Loan Officer_0
9,Approve and post home insurance quote,2025-02-17 14:25:46.265756+02:00,2025-02-17 14:25:46.265756+02:00,2025-02-17 14:57:36.341572+02:00,Loan Officer_2
22,Check application form completeness,2025-02-17 14:30:00.646000+02:00,2025-02-17 14:30:00.646000+02:00,2025-02-17 15:00:04.050534+02:00,Clerk_6
18,Assess loan risk,2025-02-17 14:32:13.768440+02:00,2025-02-17 14:32:13.768440+02:00,2025-02-17 15:02:25.257930+02:00,Loan Officer_1
20,Check credit history,2025-02-17 14:32:40.329535+02:00,2025-02-17 14:32:40.329535+02:00,2025-02-17 15:02:41.177427+02:00,Clerk_0
20,AML Check,2025-02-17 14:32:40.329535+02:00,2025-02-17 14:32:40.329535+02:00,2025-02-17 15:04:18.476474+02:00,AML Investigator_1
20,Appraise property,2025-02-17 14:32:40.329535+02:00,2025-02-17 14:32:40.329535+02:00,2025-02-17 15:08:03.973466+02:00,Appraiser_1
16,Design loan offer,2025-02-17 14:32:44.483095+02:00,2025-02-17 14:32:44.483095+02:00,2025-02-17 15:03:36.336268+02:00,Loan Officer_3
14,Approve Loan Offer,2025-02-17 14:41:35.810539+02:00,2025-02-17 14:41:35.810539+02:00,2025-02-17 15:12:13.737139+02:00,Senior Officer_0
23,Check application form completeness,2025-02-17 14:45:00.646000+02:00,2025-02-17 14:45:00.646000+02:00,2025-02-17 15:17:37.662651+02:00,Clerk_8
21,Check credit history,2025-02-17 14:46:45.997368+02:00,2025-02-17 14:46:45.997368+02:00,2025-02-17 15:16:46.248539+02:00,Clerk_1
21,Appraise property,2025-02-17 14:46:45.997368+02:00,2025-02-17 14:49:13.067276+02:00,2025-02-17 15:19:37.359759+02:00,Appraiser_0
21,AML Check,2025-02-17 14:46:45.997368+02:00,2025-02-17 14:46:45.997368+02:00,2025-02-17 15:19:39.088515+02:00,AML Investigator_2
19,Assess loan risk,2025-02-17 14:49:13.067276+02:00,2025-02-17 14:49:13.067276+02:00,2025-02-17 15:21:30.784130+02:00,Loan Officer_4
9,Consider re-design loan offer,2025-02-17 14:57:36.341572+02:00,2025-02-17 14:57:36.341572+02:00,2025-02-17 15:28:55.074282+02:00,Senior Officer_1
24,Check application form completeness,2025-02-17 15:00:00.646000+02:00,2025-02-17 15:00:00.646000+02:00,2025-02-17 15:33:04.447949+02:00,Clerk_3
22,AML Check,2025-02-17 15:00:04.050534+02:00,2025-02-17 15:00:04.050534+02:00,2025-02-17 15:32:36.633576+02:00,AML Investigator_3
22,Appraise property,2025-02-17 15:00:04.050534+02:00,2025-02-17 15:08:03.973466+02:00,2025-02-17 15:38:54.295822+02:00,Appraiser_1
22,Check credit history,2025-02-17 15:00:04.050534+02:00,2025-02-17 15:00:04.050534+02:00,2025-02-17 15:30:34.997751+02:00,Clerk_2
18,Design loan offer,2025-02-17 15:02:25.257930+02:00,2025-02-17 15:02:25.257930+02:00,2025-02-17 15:33:08.782790+02:00,Loan Officer_5
16,Approve Loan Offer,2025-02-17 15:03:36.336268+02:00,2025-02-17 15:03:36.336268+02:00,2025-02-17 15:33:48.625046+02:00,Senior Officer_2
20,Assess loan risk,2025-02-17 15:08:03.973466+02:00,2025-02-17 15:08:03.973466+02:00,2025-02-17 15:40:40.406451+02:00,Loan Officer_6
14,Design loan offer,2025-02-17 15:12:13.737139+02:00,2025-02-17 15:12:13.737139+02:00,2025-02-17 15:42:25.586845+02:00,Loan Officer_7
25,Check application form completeness,2025-02-17 15:15:00.646000+02:00,2025-02-17 15:15:00.646000+02:00,2025-02-17 15:46:05.879844+02:00,Clerk_4
23,Return application back to applicant,2025-02-17 15:17:37.662651+02:00,2025-02-17 15:17:37.662651+02:00,2025-02-17 15:48:09.949033+02:00,Clerk_5
21,Assess loan risk,2025-02-17 15:19:39.088515+02:00,2025-02-17 15:19:39.088515+02:00,2025-02-17 15:53:39.425705+02:00,Loan Officer_8
19,Reject application,2025-02-17 15:21:30.784130+02:00,2025-02-17 15:21:30.784130+02:00,2025-02-17 15:51:46.953115+02:00,Clerk_7
9,Cancel application,2025-02-17 15:28:55.074282+02:00,2025-02-17 15:28:55.074282+02:00,2025-02-17 15:59:16.194435+02:00,Clerk_6
26,Check application form completeness,2025-02-17 15:30:00.646000+02:00,2025-02-17 15:30:00.646000+02:00,2025-02-17 16:03:41.670018+02:00,Clerk_0
24,AML Check,2025-02-17 15:33:04.447949+02:00,2025-02-17 15:33:04.447949+02:00,2025-02-17 16:05:29.780929+02:00,AML Investigator_0
24,Check credit history,2025-02-17 15:33:04.447949+02:00,2025-02-17 15:33:04.447949+02:00,2025-02-17 16:04:59.960790+02:00,Clerk_1
24,Appraise property,2025-02-17 15:33:04.447949+02:00,2025-02-17 15:33:04.447949+02:00,2025-02-17 16:07:50.614292+02:00,Appraiser_0
18,Approve Loan Offer,2025-02-17 15:33:08.782790+02:00,2025-02-17 15:33:08.782790+02:00,2025-02-17 16:04:20.464469+02:00,Senior Officer_0
16,Prepare home insurance quote,2025-02-17 15:33:48.625046+02:00,2025-02-17 15:33:48.625046+02:00,2025-02-17 16:05:26.530332+02:00,Clerk_8
16,Prepare acceptance pack,2025-02-17 15:33:48.625046+02:00,2025-02-17 15:33:48.625046+02:00,2025-02-17 16:04:49.482092+02:00,Loan Officer_0
22,Assess loan risk,2025-02-17 15:38:54.295822+02:00,2025-02-17 15:38:54.295822+02:00,2025-02-17 16:09:07.812076+02:00,Loan Officer_2
20,Reject application,2025-02-17 15:40:40.406451+02:00,2025-02-17 15:40:40.406451+02:00,2025-02-17 16:10:43.007296+02:00,Clerk_2
14,Approve Loan Offer,2025-02-17 15:42:25.586845+02:00,2025-02-17 15:42:25.586845+02:00,2025-02-17 16:15:49.663502+02:00,Senior Officer_1
27,Check application form completeness,2025-02-17 15:45:00.646000+02:00,2025-02-17 15:45:00.646000+02:00,2025-02-17 16:15:19.797101+02:00,Clerk_3
25,Return application back to applicant,2025-02-17 15:46:05.879844+02:00,2025-02-17 15:46:05.879844+02:00,2025-02-17 16:16:28.352306+02:00,Clerk_4
23,Applicant completes form,2025-02-17 15:48:09.949033+02:00,2025-02-17 15:48:09.949033+02:00,2025-02-18 15:49:09.949033+02:00,Applicant_7
21,Design loan offer,2025-02-17 15:53:39.425705+02:00,2025-02-17 15:53:39.425705+02:00,2025-02-17 16:24:17.196376+02:00,Loan Officer_1
28,Check application form completeness,2025-02-17 16:00:00.646000+02:00,2025-02-17 16:00:00.646000+02:00,2025-02-17 16:31:05.862925+02:00,Clerk_5
26,Return application back to applicant,2025-02-17 16:03:41.670018+02:00,2025-02-17 16:03:41.670018+02:00,2025-02-17 16:34:06.787853+02:00,Clerk_7
18,Prepare home insurance quote,2025-02-17 16:04:20.464469+02:00,2025-02-17 16:04:20.464469+02:00,2025-02-17 16:35:15.198747+02:00,Clerk_6
18,Prepare acceptance pack,2025-02-17 16:04:20.464469+02:00,2025-02-17 16:04:20.464469+02:00,2025-02-17 16:34:37.985372+02:00,Loan Officer_3
16,Approve and send acceptance pack,2025-02-17 16:04:49.482092+02:00,2025-02-17 16:04:49.482092+02:00,2025-02-17 16:34:52.842864+02:00,Loan Officer_4
16,Approve and post home insurance quote,2025-02-17 16:05:26.530332+02:00,2025-02-17 16:05:26.530332+02:00,2025-02-17 16:35:48.110596+02:00,Loan Officer_5
24,Assess loan risk,2025-02-17 16:07:50.614292+02:00,2025-02-17 16:07:50.614292+02:00,2025-02-17 16:39:47.687588+02:00,Loan Officer_6
22,Design loan offer,2025-02-17 16:09:07.812076+02:00,2025-02-17 16:09:07.812076+02:00,2025-02-17 16:39:29.163869+02:00,Loan Officer_7
29,Check application form completeness,2025-02-17 16:15:00.646000+02:00,2025-02-17 16:15:00.646000+02:00,2025-02-17 16:47:54.222580+02:00,Clerk_0
27,Appraise property,2025-02-17 16:15:19.797101+02:00,2025-02-17 16:15:19.797101+02:00,2025-02-17 16:45:42.164229+02:00,Appraiser_1
27,AML Check,2025-02-17 16:15:19.797101+02:00,2025-02-17 16:15:19.797101+02:00,2025-02-17 16:47:40.302423+02:00,AML Investigator_1
27,Check credit history,2025-02-17 16:15:19.797101+02:00,2025-02-17 16:15:19.797101+02:00,2025-02-17 16:46:02.094885+02:00,Clerk_1
14,Prepare home insurance quote,2025-02-17 16:15:49.663502+02:00,2025-02-17 16:15:49.663502+02:00,2025-02-17 16:46:18.069434+02:00,Clerk_8
14,Prepare acceptance pack,2025-02-17 16:15:49.663502+02:00,2025-02-17 16:15:49.663502+02:00,2025-02-17 16:46:26.212216+02:00,Loan Officer_8
25,Applicant completes form,2025-02-17 16:16:28.352306+02:00,2025-02-17 16:16:28.352306+02:00,2025-02-18 16:17:28.352306+02:00,Applicant_8
21,Approve Loan Offer,2025-02-17 16:24:17.196376+02:00,2025-02-17 16:24:17.196376+02:00,2025-02-17 16:54:47.045843+02:00,Senior Officer_2
30,Check application form completeness,2025-02-17 16:30:00.646000+02:00,2025-02-17 16:30:00.646000+02:00,2025-02-18 09:02:23.780122+02:00,Clerk_2
28,Return application back to applicant,2025-02-17 16:31:05.862925+02:00,2025-02-17 16:31:05.862925+02:00,2025-02-18 09:01:19.373663+02:00,Clerk_3
26,Applicant completes form,2025-02-17 16:34:06.787853+02:00,2025-02-17 16:34:06.787853+02:00,2025-02-18 16:35:06.787853+02:00,Applicant_9
18,Approve and send acceptance pack,2025-02-17 16:34:37.985372+02:00,2025-02-17 16:34:37.985372+02:00,2025-02-18 09:10:01.965872+02:00,Loan Officer_0
18,Approve and post home insurance quote,2025-02-17 16:35:15.198747+02:00,2025-02-17 16:35:15.198747+02:00,2025-02-18 09:07:04.600800+02:00,Loan Officer_2
16,Consider re-design loan offer,2025-02-17 16:35:48.110596+02:00,2025-02-17 16:35:48.110596+02:00,2025-02-18 09:06:04.274211+02:00,Senior Officer_0
22,Approve Loan Offer,2025-02-17 16:39:29.163869+02:00,2025-02-17 16:39:29.163869+02:00,2025-02-18 09:18:48.056720+02:00,Senior Officer_1
24,Reject application,2025-02-17 16:39:47.687588+02:00,2025-02-17 16:39:47.687588+02:00,2025-02-18 09:11:11.979337+02:00,Clerk_4
31,Check application form completeness,2025-02-17 16:45:00.646000+02:00,2025-02-17 16:45:00.646000+02:00,2025-02-18 09:16:10.325465+02:00,Clerk_5
14,Approve and post home insurance quote,2025-02-17 16:46:18.069434+02:00,2025-02-17 16:46:18.069434+02:00,2025-02-18 09:27:03.078517+02:00,Loan Officer_1
14,Approve and send acceptance pack,2025-02-17 16:46:26.212216+02:00,2025-02-17 16:46:26.212216+02:00,2025-02-18 09:18:10.954300+02:00,Loan Officer_3
27,Assess loan risk,2025-02-17 16:47:40.302423+02:00,2025-02-17 16:47:40.302423+02:00,2025-02-18 09:17:44.642748+02:00,Loan Officer_4
29,Return application back to applicant,2025-02-17 16:47:54.222580+02:00,2025-02-17 16:47:54.222580+02:00,2025-02-18 09:18:16.760108+02:00,Clerk_7
21,Design loan offer,2025-02-17 16:54:47.045843+02:00,2025-02-17 16:54:47.045843+02:00,2025-02-18 09:25:02.969724+02:00,Loan Officer_5
32,Check application form completeness,2025-02-17 17:00:00.646000+02:00,2025-02-17 17:00:00.646000+02:00,2025-02-18 09:30:32.301507+02:00,Clerk_6
